no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,isi_input_model,model,setting,setting_label,sampiran_generated,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5
47,4689,Pantun cinta dan kasih,"pasar sawang beli lawang
salak pondoh sepat rasanya
sabar sayang abang kan pulang
ada jodoh tidak akan ke mana","pasar sawang beli lawang
salak pondoh sepat rasanya","sabar sayang abang kan pulang
ada jodoh tidak akan ke mana",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Bilangan sabar menghadapi masalah,
Jalan pulang pasti akan terbuka lebar.",2,2,0,0.852344,0.285714,12,13,9,11,1,
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Budi baik jadi pusaka
Agar hidup selalu dikenang",2,2,0,1.000000,0.714286,9,10,9,9,0,
73,4132,Pantun kebangsaan,"Mentari pagi menyimbah desa
Kabut tersingkap di kaki bukit
Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit","Mentari pagi menyimbah desa
Kabut tersingkap di kaki bukit","Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Ilmu yang bermanfaatlah kamu kuasai
Bangsaku akan bangkit dari keterpurukan",2,2,0,0.674969,0.250000,13,14,10,10,3,
17,6031,Pantun agama,"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","senja terbenam di langit barat
bulan tak bersinar di malam sendu","hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu",DeepSeek-R1,zero_shot,Hasil Zero-shot,"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu",2,2,1,1.000000,1.000000,12,10,12,10,0,
38,3270,Pantun kiasan dan peribahasa,"Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi
Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi","Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Ilmu tanpa akhlak jauh artinya,
Pendidikan memerlukan budi pekerti.",2,2,1,0.852344,0.428571,11,13,9,10,1,
31,1743,Pantun adat dan budaya,"Burung tempua beranyam sarang
Di pohon sena rimbun berdaun
Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun","Burung tempua beranyam sarang
Di pohon sena rimbun berdaun","Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Tiang budaya menjadi kebanggaan,
Masyarakat tertib selamanya.",2,2,0,1.000000,0.125000,12,10,10,9,0,
20,1706,Pantun agama,"Burung pipit terbang ke rawa
Mencari makan di antara padi
Jika hidup penuh doa
Hati tenang setiap hari","Burung pipit terbang ke rawa
Mencari makan di antara padi","Jika hidup penuh doa
Hati tenang setiap hari",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Jika hidup penuh doa
Hati tenang setiap hari",2,2,1,1.000000,1.000000,8,9,8,9,0,
96,4036,Pantun anak-anak,"menanam bunga membuat taman
akan indah laksana bintang
bermain layanglayang bersama teman
lupa waktu hampir petang","menanam bunga membuat taman
akan indah laksana bintang","bermain layanglayang bersama teman
lupa waktu hampir petang",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Bermain layang-layang di bawah langit biru
Hanya bersenang-senang dengan teman baik",2,2,0,0.674969,0.375000,14,13,12,8,3,
22,4434,Pantun pendidikan,"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan","Pagi cerah memetik mawar
Harumnya sampai ke halaman","Ilmu dicari dengan sabar
Supaya hidup penuh harapan",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Ilmu dicari dengan sabar
Supaya hidup penuh harapan",2,2,1,1.000000,1.000000,9,10,9,10,0,
16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati","jikalau hendak hidup bahagia
beramal ibadah sebelum mati",DeepSeek-R1,zero_shot,Hasil Zero-shot,"jikalau hendak hidup bahagia
beramal ibadah sebelum mati",2,2,1,1.000000,1.000000,11,11,11,11,0,
86,1326,Pantun jenaka,"bunga di taman jangan dipetik
tempat bergantung si kepompong
temanku ini memang cantik
sayang dia giginya ompong","bunga di taman jangan dipetik
tempat bergantung si kepompong","temanku ini memang cantik
sayang dia giginya ompong",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Dia memang cantik dengan rambut pirang
Tapi gigi depannya yang membuatnya aneh",2,2,0,0.748293,0.333333,12,14,9,9,2,
81,950,Pantun perpisahan dan perantauan,"berburu belut ke tepi sawah
segera pulang hari pun senja
baru seminggu kita berpisah
rindu di hati telah membara","berburu belut ke tepi sawah
segera pulang hari pun senja","baru seminggu kita berpisah
rindu di hati telah membara",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Kita berpisah baru seminggu
Rasa rindu ini terasa sangat tajam",2,2,0,0.852344,0.571429,10,13,10,10,1,
64,1377,Pantun kehidupan dan renungan,"Bunga mawar merah berduri
Cantik mekar di taman desa
Jika hati bersih nurani
Hidup indah penuh rasa","Bunga mawar merah berduri
Cantik mekar di taman desa","Jika hati bersih nurani
Hidup indah penuh rasa",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Jika nurani ini kau jaga
Hidup akan indah dan sejahtera",2,2,0,1.000000,0.500000,10,11,9,8,0,
1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi","Jika budi elok lakunya
Semua orang senang hati",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Budi elok senantiasa
Di hiasi dengan rendah hati",2,2,1,1.000000,0.375000,9,10,9,9,0,
37,313,Pantun kiasan dan peribahasa,"Anak Cik Siti mencari tuba
Tuba dicari di Tanjung Jati
Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati","Anak Cik Siti mencari tuba
Tuba dicari di Tanjung Jati","Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Dalam balik pucuk tidakkan lupa,
Seperti akar yang kuat memikat.",2,2,0,1.000000,0.333333,11,11,10,9,0,
84,4791,Pantun perpisahan dan perantauan,"pergi berlayar ke pulau seberang
sambilkan dengan memancing ikan
semakin jauh ke rantau orang
hanya keluarga yang aku rindukan","pergi berlayar ke pulau seberang
sambilkan dengan memancing ikan","semakin jauh ke rantau orang
hanya keluarga yang aku rindukan",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Semakin jauh dari tanah kelahiran
Hanya keluarga kecil yang dirindu",2,2,0,0.852344,0.571429,13,12,10,12,1,
28,6142,Pantun adat dan budaya,"Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara
Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara","Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara","Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Pusaka nenek moyang dijunjung tinggi,
Budi luhur menyertai bangsa.",2,2,0,1.000000,0.375000,12,9,11,11,0,
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Jika hidup ingin berisi budi
Hormati janji dan ucapan",2,2,1,1.000000,1.000000,11,9,11,9,0,
48,1170,Pantun cinta dan kasih,"Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih
Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih","Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Ombak laut menghanyutkan perahu,
Namun budi dan akhlak tetap terjaga.",2,2,0,1.000000,0.166667,11,12,10,10,0,
45,1660,Pantun cinta dan kasih,"Burung nuri hinggap di sena
Menyisir bulu waktu petang
Jika rindu bukan sengketa
Mengapa hati terus bergoncang","Burung nuri hinggap di sena
Menyisir bulu waktu petang","Jika rindu bukan sengketa
Mengapa hati terus bergoncang",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Rindu yang sejati tidak memunculkan benturan,
Semata-mata keinginan yang membara.",2,2,0,0.623298,0.125000,15,13,9,10,4,
26,514,Pantun pendidikan,"Angin pagi menyentuh daun
Embun jatuh di atas batu
Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Angin pagi menyentuh daun
Embun jatuh di atas batu","Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu",DeepSeek-R1,zero_shot,Hasil Zero-shot,"Bunga bangsa memerlukan ilmu,
Tiang kehidupan membutuhkan amal.",2,2,0,1.000000,0.250000,10,12,11,9,0,
87,1718,Pantun jenaka,"burung pipit turun ke rawa
kakinya gerah kena belerang
nenek murung jadi tertawa
melihat kakek main kelerang","burung pipit turun ke rawa
kakinya gerah kena belerang","nenek murung jadi tertawa
melihat kakek main kelereng",Gemini,few_shot,Hasil Few-shot,"Berlayar sampan ke pulau Jawa
Terbang tinggi si burung ketiteng",2,2,1,1.000000,0.000000,10,10,9,10,0,
41,6406,Pantun cinta dan kasih,"Tenang-tenang air di laut
Sampan kolek mudik ke tanjung
Hati terkenang mulut menyebut
Rindu kini tiada penghujung","Tenang-tenang air di laut
Sampan kolek mudik ke tanjung","Hati terkenang mulut menyebut
Rindu kini tiada penghujung",Gemini,few_shot,Hasil Few-shot,"Pohon bambu lebat berserabut,
Perahu berlabuh di muara tanjung.",2,2,1,1.000000,0.000000,10,12,10,10,0,
91,4536,Pantun teka-teki,"pagi hari menanak nasi
nasi bekal orang di sawah
cobalah terka pantunku ini
akar di atas pucuk di bawah","pagi hari menanak nasi
nasi bekal orang di sawah","cobalah terka pantunku ini
akar di atas pucuk di bawah",Gemini,few_shot,Hasil Few-shot,"Harum semerbak bunga melati
Padi menguning di tengah sawah",2,2,1,1.000000,0.000000,10,10,10,10,0,
80,2181,Pantun sosial dan kerukunan,"Gendang dipalu bertalu-talu
Tari zapin di balai desa
Jika hidup mahu bersatu
Jaga rukun sesama bangsa","Gendang dipalu bertalu-talu
Tari zapin di balai desa","Jika hidup mahu bersatu
Jaga rukun sesama bangsa",Gemini,few_shot,Hasil Few-shot,"Burung nuri hinggap di batu
Memetik mangga manis terasa",2,2,1,1.000000,0.000000,9,10,9,9,0,
6,5040,Pantun nasihat dan budi pekerti,"Pergi ke ladang memanen padi
Padi menguning siap dituai
Jika hidup ingin penuh budi
Rendah hati jangan dilalai","Pergi ke ladang memanen padi
Padi menguning siap dituai","Jika hidup ingin penuh budi
Rendah hati jangan dilalai",Gemini,few_shot,Hasil Few-shot,"Pergi ke sawah menanam padi
Menjala ikan di bawah pantai",2,2,1,1.000000,0.000000,10,10,10,9,0,
88,5682,Pantun jenaka,"pulang memancing badan kusam
mendapat ikan anak tenggiri
ketika ditanya semuanya diam
karena kentut tak berbunyi","pulang memancing badan kusam
mendapat ikan anak tenggiri","ketika ditanya semuanya diam
karena kentut tak berbunyi",Gemini,few_shot,Hasil Few-shot,"Memetik mangga di tengah malam
Harum semerbak bunga melati",2,2,1,1.000000,0.000000,10,10,12,9,0,
48,1170,Pantun cinta dan kasih,"Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih
Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih","Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih",Gemini,few_shot,Hasil Few-shot,"Bunga melati tumbuh di semak,
Pakaian putih terlihat bersih.",2,2,1,1.000000,0.000000,10,10,10,10,0,
66,1275,Pantun kehidupan dan renungan,"bulan berkedip bintang datang
beli sarung di pasar pagi
begini nasib jadi pedagang
kadang untung kadang rugi","bulan berkedip bintang datang
beli sarung di pasar pagi","begini nasib jadi pedagang
kadang untung kadang rugi",Gemini,few_shot,Hasil Few-shot,"Perahu laju membawa barang
Singgah di jeti membeli pagi",2,2,1,1.000000,0.000000,10,10,10,8,0,
62,2305,Pantun bakti keluarga,"Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang
Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang","Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang","Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang",Gemini,few_shot,Hasil Few-shot,"Terbang melayang si burung jawa
Hinggap di ranting pohon mualang",2,2,1,1.000000,0.000000,10,10,11,12,0,
2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua","Jika ingin hidup dikenang
Budi baik jadi pusaka",Gemini,few_shot,Hasil Few-shot,"Terbang tinggi burung elang
Minggap sebentar di atas paka",2,2,1,1.000000,0.000000,8,10,9,9,0,
23,1637,Pantun pendidikan,"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Burung merpati terbang ke taman
Hinggap sebentar di pohon jati","Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati",Gemini,few_shot,Hasil Few-shot,"Membeli beras di tengah pekan
Singgah sebentar di rumah asti",2,2,1,1.000000,0.000000,10,10,10,11,0,
46,3362,Pantun cinta dan kasih,"Ke taman bunga membeli mawar
Harumnya semerbak menawan hati
Rindu padamu kian berputar
Kasih terikat janji sejati","Ke taman bunga membeli mawar
Harumnya semerbak menawan hati","Rindu padamu kian berputar
Kasih terikat janji sejati",Gemini,few_shot,Hasil Few-shot,"Pohon jati tumbuh membesar,
Menanam bunga di dalam peti.",2,2,1,1.000000,0.000000,9,10,10,10,0,
73,4132,Pantun kebangsaan,"Mentari pagi menyimbah desa
Kabut tersingkap di kaki bukit
Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit","Mentari pagi menyimbah desa
Kabut tersingkap di kaki bukit","Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit",Gemini,few_shot,Hasil Few-shot,"Pohon kelapa meliuk dirasa
Buahnya jatuh di atas bukit",2,2,1,1.000000,0.000000,11,10,10,10,0,
51,6151,Pantun persahabatan,"Sirih merah di dalam puan
Pinang muda dibelah rata
Jika hendak disayang kawan
Bersikap jujur sepanjang masa","Sirih merah di dalam puan
Pinang muda dibelah rata","Jika hendak disayang kawan
Bersikap jujur sepanjang masa",Gemini,few_shot,Hasil Few-shot,"Tinggi terbang si burung wan
Hinggap sebentar di dahan rasa",2,2,1,1.000000,0.000000,8,10,9,10,0,
86,1326,Pantun jenaka,"bunga di taman jangan dipetik
tempat bergantung si kepompong
temanku ini memang cantik
sayang dia giginya ompong","bunga di taman jangan dipetik
tempat bergantung si kepompong","temanku ini memang cantik
sayang dia giginya ompong",Gemini,few_shot,Hasil Few-shot,"Pohon bambu di tepi tasik
Membeli buah di dalam lorong",2,2,1,1.000000,0.000000,9,10,9,9,0,
43,1414,Pantun cinta dan kasih,"bunga melati warnanya putih
tertiup angin dibasuh hujan
jika kamu menaruh kasih
langsung kita ke pelaminan","bunga melati warnanya putih
tertiup angin dibasuh hujan","jika kamu menaruh kasih
langsung kita ke pelaminan",Gemini,few_shot,Hasil Few-shot,"Kain putih terlihat bersih,
Duduk santai di atas tampan.",2,2,1,1.000000,0.000000,9,9,9,9,0,
54,6148,Pantun persahabatan,"Sirih kuning dalam tempayan
Air jernih penuh isinya
Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Sirih kuning dalam tempayan
Air jernih penuh isinya","Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya",Gemini,few_shot,Hasil Few-shot,"Menanam padi di tengah laman
Membawa cangkul ke dalam desa",2,2,1,1.000000,0.000000,10,10,9,11,0,
49,4346,Pantun cinta dan kasih,"ombak lembut mencium pantai
pasir putih terlukis senja
rindu ini tak pernah usai
seperti laut mencinta Samudra","ombak lembut mencium pantai
pasir putih terlukis senja","rindu ini tak pernah usai
seperti laut mencinta Samudra",Gemini,few_shot,Hasil Few-shot,"Pergi berlayar ke tepi pantai,
Melihat burung di atas muara.",2,2,1,1.000000,0.000000,10,11,9,11,0,
18,4555,Pantun agama,"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari","Pagi hari menuju sawah
Embun jatuh di daun padi","Jika hidup ingin berkah
Rajin ibadah setiap hari",Gemini,few_shot,Hasil Few-shot,"Pohon mangga pohon nangka
Tumbuh subur di tanah sari",2,2,0,1.000000,0.000000,8,9,8,10,0,
4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar","Jika ingin hidup bahagia
Bersikap jujur dan sabar",Gemini,few_shot,Hasil Few-shot,"Tanam padi di dekat desa
Sawah luas membentang lebar",2,2,1,1.000000,0.000000,9,9,10,8,0,
32,1931,Pantun adat dan budaya,"Daun selasih di tepi laman
Disiram embun waktu fajar
Budi bahasa jadi pegangan
Agar hidup sentiasa wajar","Daun selasih di tepi laman
Disiram embun waktu fajar","Budi bahasa jadi pegangan
Agar hidup sentiasa wajar",Gemini,few_shot,Hasil Few-shot,"Pergi berlayar ke tengah lautan,
Melihat ombak menghempas layar.",2,2,1,1.000000,0.000000,10,10,10,10,0,
67,3196,Pantun kehidupan dan renungan,"Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga
Jika hidup terasa panjang
Gunakan waktu untuk berkarya","Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga","Jika hidup terasa panjang
Gunakan waktu untuk berkarya",Gemini,few_shot,Hasil Few-shot,"Kayu cendana dipotong pajang
Dibawa pulang ke dalam daya",2,2,1,1.000000,0.000000,10,10,9,10,0,
16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati","jikalau hendak hidup bahagia
beramal ibadah sebelum mati",Gemini,few_shot,Hasil Few-shot,"Membeli kain berwarna jingga
Mawar merah harum sekali",2,2,1,1.000000,0.000000,10,9,11,11,0,
33,4327,Pantun adat dan budaya,"Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu
Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu","Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu",Gemini,few_shot,Hasil Few-shot,"Perahu berlabuh di tepi tanjung,
Membeli kain berwarna biru.",2,2,1,1.000000,0.000000,11,10,11,10,0,
50,1442,Pantun persahabatan,"Bunga tanjung di halaman
Harumnya semerbak kala senja
Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Bunga tanjung di halaman
Harumnya semerbak kala senja","Jika ingin dihormati teman
Bersikap rendah hati sentiasa",Gemini,few_shot,Hasil Few-shot,"Bunga mawar tumbuh di taman,
Harum baunya sepanjang masa.",2,2,1,1.000000,0.000000,9,9,10,11,0,
5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",Gemini,zero_shot,Hasil Zero-shot,"Membeli kain berjenis kadi
Ikan berenang di dalam kolam",2,2,0,1.000000,0.000000,10,10,11,9,0,
98,3679,Pantun anak-anak,"laut luas tempat berenang
hutan hijau tempat si rusa
bermain layangan hatiku senang
bersama tiupan angin desa","laut luas tempat berenang
hutan hijau tempat si rusa","bermain layangan hatiku senang
bersama tiupan angin desa",Gemini,zero_shot,Hasil Zero-shot,"Air sungai mengalir tenang,
Pohon rimbun di tengah desa.",2,2,1,1.000000,0.125000,9,9,11,10,0,
55,2138,Pantun persahabatan,"Embun pagi jatuh setitis
Menyapa bunga di tepi jalan
Tutur santun wajah yang manis
Menenangkan hati mengikat kawan","Embun pagi jatuh setitis
Menyapa bunga di tepi jalan","Tutur santun wajah yang manis
Menenangkan hati mengikat kawan",Gemini,zero_shot,Hasil Zero-shot,"Hujan turun gerimis-gerimis,
Terbang tinggi burung di awan.",2,2,1,1.000000,0.000000,10,9,9,11,0,
3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar","Jika hidup ingin bermutu
Jujur dan amanah harus dipagar",Gemini,zero_shot,Hasil Zero-shot,"Beli kain bertenun satu
Bunga mawar harum memekar",2,2,1,1.000000,0.000000,9,9,9,11,0,
16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati","jikalau hendak hidup bahagia
beramal ibadah sebelum mati",Gemini,zero_shot,Hasil Zero-shot,"Tinggi menjulang pohon kelapa
Ikan berenang di bawah titi",2,2,1,1.000000,0.000000,10,10,11,11,0,
11,1343,Pantun nasihat dan budi pekerti,"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati","Bunga kenanga harum baunya
Disimpan rapi di dalam peti","Jika ingin hidup mulia
Jujur selalu dalam hati",Gemini,zero_shot,Hasil Zero-shot,"Anak kecil membawa piala
Mandi di sungai di pagi hari",2,2,1,1.000000,0.000000,10,10,9,9,0,
45,1660,Pantun cinta dan kasih,"Burung nuri hinggap di sena
Menyisir bulu waktu petang
Jika rindu bukan sengketa
Mengapa hati terus bergoncang","Burung nuri hinggap di sena
Menyisir bulu waktu petang","Jika rindu bukan sengketa
Mengapa hati terus bergoncang",Gemini,zero_shot,Hasil Zero-shot,"Indah diukir permata kota
Terbang tinggi si burung elang",2,2,1,1.000000,0.000000,10,9,9,10,0,
74,1729,Pantun kebangsaan,"Burung serindit menyisir awan
Hinggap sebentar di dahan sena
Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Burung serindit menyisir awan
Hinggap sebentar di dahan sena","Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda",Gemini,zero_shot,Hasil Zero-shot,"Berjalan santai di tepi jalan,
Mengayuh sampan di atas samudera.",2,2,1,1.000000,0.000000,10,12,10,10,0,
18,4555,Pantun agama,"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari","Pagi hari menuju sawah
Embun jatuh di daun padi","Jika hidup ingin berkah
Rajin ibadah setiap hari",Gemini,zero_shot,Hasil Zero-shot,"Pergi melaut membawa pukat
Mencari ikan hingga ke pantai",2,2,0,1.000000,0.000000,10,10,8,10,0,
54,6148,Pantun persahabatan,"Sirih kuning dalam tempayan
Air jernih penuh isinya
Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Sirih kuning dalam tempayan
Air jernih penuh isinya","Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya",Gemini,zero_shot,Hasil Zero-shot,"Pohon rindang di tengah taman,
Indah mekar indah warnanya.",2,2,1,1.000000,0.000000,9,9,9,11,0,
90,55,Pantun jenaka,"ada pohon di tepi rawa
daunnya kering dimakan kutu
adik menangis sambil tertawa
melihat kambing pakai sepatu","ada pohon di tepi rawa
daunnya kering dimakan kutu","adik menangis sambil tertawa
melihat kambing pakai sepatu",Gemini,zero_shot,Hasil Zero-shot,"Sungguh manis si buah jawa,
Beli kain berwarna satu.",2,2,1,1.000000,0.000000,9,9,10,10,0,
14,2129,Pantun agama,"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma
Jika iman sentiasa bersih
Damailah hidup sepanjang masa","Embun pagi berkilau jernih
Menyentuh pucuk padi di huma","Jika iman sentiasa bersih
Damailah hidup sepanjang masa",Gemini,zero_shot,Hasil Zero-shot,"Merah membara buah selasih
Bunga melati harum baunya",2,2,1,1.000000,0.000000,10,9,10,10,0,
56,6440,Pantun bakti keluarga,"Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa
Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa","Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa",Gemini,zero_shot,Hasil Zero-shot,"Indah mekar bunga melati,
Memetik kelapa di pohon kelapa.",2,2,1,1.000000,0.000000,9,12,11,10,0,
63,1505,Pantun kehidupan dan renungan,"Burung camar terbang rendah
Menyambar ikan di laut biru
Harta dunia jangan bermegah
Budi dan amal penentu mutu","Burung camar terbang rendah
Menyambar ikan di laut biru","Harta dunia jangan bermegah
Budi dan amal penentu mutu",Gemini,zero_shot,Hasil Zero-shot,"Pohon rimbun di tepi sanggah,
Mengasah pisau di atas batu.",2,2,1,1.000000,0.000000,9,10,10,10,0,
71,5770,Pantun kebangsaan,"rambut hitam anggun rupanya
sehalus bulu burung merpati
hidup mati untuk negara
ikhlas hati kalau mati","rambut hitam anggun rupanya
sehalus bulu burung merpati","hidup mati untuk negara
ikhlas hati kalau mati",Gemini,zero_shot,Hasil Zero-shot,"Berlayar kapal ke muara,
Menanam bunga rumpun melati.",2,2,1,1.000000,0.000000,9,10,9,8,0,
21,5560,Pantun pendidikan,"pohon kelapa di tepi telaga
daunnya melambai tertiup angin
hormat guru tanda mulia
ilmu mengalir penuh berkah yakin","pohon kelapa di tepi telaga
daunnya melambai tertiup angin","hormat guru tanda mulia
ilmu mengalir penuh berkah yakin",Gemini,zero_shot,Hasil Zero-shot,"Terbang tinggi burung di udara
Mencari makan hingga ke kelin",2,2,1,1.000000,0.000000,10,10,9,11,0,
59,5859,Pantun bakti keluarga,"sampan kecil kita berlabuh
memuat kelapa bawa ke pasar
sejak kecil kita diasuh
jasa ibu bapak sangatlah besar","sampan kecil kita berlabuh
memuat kelapa bawa ke pasar","sejak kecil kita diasuh
jasa ibu bapak sangatlah besar",Gemini,zero_shot,Hasil Zero-shot,"Mandi di sungai airnya keruh,
Berlayar jauh ke laut besar.",2,2,1,1.000000,0.125000,9,10,9,11,0,
62,2305,Pantun bakti keluarga,"Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang
Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang","Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang","Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang",Gemini,zero_shot,Hasil Zero-shot,"Berlayar jauh ke pulau Jawa,
Burung elang terbang melayang.",2,2,1,1.000000,0.000000,10,9,11,12,0,
