isi_input_model,sampiran_generated,no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,model,setting,setting_label,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5,s_judge_norm,xrasa_final
"adat dijaga pusaka dijunjung
baru terpelihara adat pesaka","Adat adalah akar budaya kita
Pusaka membawa warisan peradaban",30,3695,Pantun adat dan budaya,"lebat daun bunga tanjung
berbau harum bunga cempaka
adat dijaga pusaka dijunjung
baru terpelihara adat pesaka","lebat daun bunga tanjung
berbau harum bunga cempaka",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,0.852344,0.285714,12,13,11,12,1,1,0.000000,0.000000
"Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun","Kesopanan dan sopan santun
Menjadi ciri khas bangsa kita",31,1743,Pantun adat dan budaya,"Burung tempua beranyam sarang
Di pohon sena rimbun berdaun
Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun","Burung tempua beranyam sarang
Di pohon sena rimbun berdaun",DeepSeek-R1,few_shot,Hasil Few-shot,2,2,0,1.0,0.125,9,10,10,9,0,1,0.000000,0.000000
"Jika hendak hidup lurus
Ikut adat dan agama","Jika hendak hidup lurus
Ikut adat dan agama",15,2465,Pantun agama,"Ikan sepat ikan gabus
Masak lemak dalam belanga
Jika hendak hidup lurus
Ikut adat dan agama","Ikan sepat ikan gabus
Masak lemak dalam belanga",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,8,8,8,8,0,1,0.000000,0.500000
"Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Tinggalkanlah kebajikan dengan tekun
Agar kemuliaan negeri kau junjung",72,1095,Pantun kebangsaan,"Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa
Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa","Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,0.852344,0.0,12,13,10,10,1,1,0.000000,0.000000
"begini nasib jadi pedagang
kadang untung kadang rugi","Beginilah nasib seorang pedagang
Tidak selamanya peruntungan membudikannya",66,1275,Pantun kehidupan dan renungan,"bulan berkedip bintang datang
beli sarung di pasar pagi
begini nasib jadi pedagang
kadang untung kadang rugi","bulan berkedip bintang datang
beli sarung di pasar pagi",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,0.674969,0.333333,12,15,10,8,3,1,0.000000,0.000000
"Jika hendak disayang kawan
Bersikap jujur sepanjang masa","Hendaklah kau bijaksana
Tak pernah berbohong di saat itu",51,6151,Pantun persahabatan,"Sirih merah di dalam puan
Pinang muda dibelah rata
Jika hendak disayang kawan
Bersikap jujur sepanjang masa","Sirih merah di dalam puan
Pinang muda dibelah rata",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.0,8,11,9,10,0,1,0.000000,0.000000
"sabar sayang abang kan pulang
ada jodoh tidak akan ke mana","Bilangan sabar menghadapi masalah,
Jalan pulang pasti akan terbuka lebar.",47,4689,Pantun cinta dan kasih,"pasar sawang beli lawang
salak pondoh sepat rasanya
sabar sayang abang kan pulang
ada jodoh tidak akan ke mana","pasar sawang beli lawang
salak pondoh sepat rasanya",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,0.852344,0.285714,12,13,9,11,1,1,0.000000,0.000000
"Jika ingin hidup dikenang
Budi baik jadi pusaka","Budi baik jadi pusaka
Agar hidup selalu dikenang",2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.714286,9,10,9,9,0,1,0.000000,0.000000
"Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit","Ilmu yang bermanfaatlah kamu kuasai
Bangsaku akan bangkit dari keterpurukan",73,4132,Pantun kebangsaan,"Mentari pagi menyimbah desa
Kabut tersingkap di kaki bukit
Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit","Mentari pagi menyimbah desa
Kabut tersingkap di kaki bukit",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,0.674969,0.25,13,14,10,10,3,1,0.000000,0.000000
"hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu",17,6031,Pantun agama,"senja terbenam di langit barat
bulan tak bersinar di malam sendu
hidup di dunia ingatlah akhirat
sebagai bekal gapailah ilmu","senja terbenam di langit barat
bulan tak bersinar di malam sendu",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,12,10,12,10,0,1,0.000000,0.500000
"Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Ilmu tanpa akhlak jauh artinya,
Pendidikan memerlukan budi pekerti.",38,3270,Pantun kiasan dan peribahasa,"Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi
Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,1,0.852344,0.428571,11,13,9,10,1,1,0.000000,0.426172
"Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun","Tiang budaya menjadi kebanggaan,
Masyarakat tertib selamanya.",31,1743,Pantun adat dan budaya,"Burung tempua beranyam sarang
Di pohon sena rimbun berdaun
Budi bahasa tiang terbilang
Tegak bangsa sepanjang tahun","Burung tempua beranyam sarang
Di pohon sena rimbun berdaun",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.125,12,10,10,9,0,1,0.000000,0.000000
"Jika hidup penuh doa
Hati tenang setiap hari","Jika hidup penuh doa
Hati tenang setiap hari",20,1706,Pantun agama,"Burung pipit terbang ke rawa
Mencari makan di antara padi
Jika hidup penuh doa
Hati tenang setiap hari","Burung pipit terbang ke rawa
Mencari makan di antara padi",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,8,9,8,9,0,1,0.000000,0.500000
"bermain layanglayang bersama teman
lupa waktu hampir petang","Bermain layang-layang di bawah langit biru
Hanya bersenang-senang dengan teman baik",96,4036,Pantun anak-anak,"menanam bunga membuat taman
akan indah laksana bintang
bermain layanglayang bersama teman
lupa waktu hampir petang","menanam bunga membuat taman
akan indah laksana bintang",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,0.674969,0.375,14,13,12,8,3,1,0.000000,0.000000
"Ilmu dicari dengan sabar
Supaya hidup penuh harapan","Ilmu dicari dengan sabar
Supaya hidup penuh harapan",22,4434,Pantun pendidikan,"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan","Pagi cerah memetik mawar
Harumnya sampai ke halaman",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,9,10,9,10,0,1,0.000000,0.500000
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati","jikalau hendak hidup bahagia
beramal ibadah sebelum mati",16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,11,11,11,11,0,1,0.000000,0.500000
"temanku ini memang cantik
sayang dia giginya ompong","Dia memang cantik dengan rambut pirang
Tapi gigi depannya yang membuatnya aneh",86,1326,Pantun jenaka,"bunga di taman jangan dipetik
tempat bergantung si kepompong
temanku ini memang cantik
sayang dia giginya ompong","bunga di taman jangan dipetik
tempat bergantung si kepompong",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,0.748293,0.333333,12,14,9,9,2,1,0.000000,0.000000
"baru seminggu kita berpisah
rindu di hati telah membara","Kita berpisah baru seminggu
Rasa rindu ini terasa sangat tajam",81,950,Pantun perpisahan dan perantauan,"berburu belut ke tepi sawah
segera pulang hari pun senja
baru seminggu kita berpisah
rindu di hati telah membara","berburu belut ke tepi sawah
segera pulang hari pun senja",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,0.852344,0.571429,10,13,10,10,1,1,0.000000,0.000000
"Jika hati bersih nurani
Hidup indah penuh rasa","Jika nurani ini kau jaga
Hidup akan indah dan sejahtera",64,1377,Pantun kehidupan dan renungan,"Bunga mawar merah berduri
Cantik mekar di taman desa
Jika hati bersih nurani
Hidup indah penuh rasa","Bunga mawar merah berduri
Cantik mekar di taman desa",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.5,10,11,9,8,0,1,0.000000,0.000000
"Jika budi elok lakunya
Semua orang senang hati","Budi elok senantiasa
Di hiasi dengan rendah hati",1,1399,Pantun nasihat dan budi pekerti,"Bunga melati harum baunya
Disiram embun waktu pagi
Jika budi elok lakunya
Semua orang senang hati","Bunga melati harum baunya
Disiram embun waktu pagi",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.375,9,10,9,9,0,1,0.000000,0.500000
"Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati","Dalam balik pucuk tidakkan lupa,
Seperti akar yang kuat memikat.",37,313,Pantun kiasan dan peribahasa,"Anak Cik Siti mencari tuba
Tuba dicari di Tanjung Jati
Di dalam hati tidakkan lupa
Bagai rambut tersimpul mati","Anak Cik Siti mencari tuba
Tuba dicari di Tanjung Jati",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.333333,11,11,10,9,0,1,0.000000,0.000000
"semakin jauh ke rantau orang
hanya keluarga yang aku rindukan","Semakin jauh dari tanah kelahiran
Hanya keluarga kecil yang dirindu",84,4791,Pantun perpisahan dan perantauan,"pergi berlayar ke pulau seberang
sambilkan dengan memancing ikan
semakin jauh ke rantau orang
hanya keluarga yang aku rindukan","pergi berlayar ke pulau seberang
sambilkan dengan memancing ikan",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,0.852344,0.571429,13,12,10,12,1,1,0.000000,0.000000
"Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara","Pusaka nenek moyang dijunjung tinggi,
Budi luhur menyertai bangsa.",28,6142,Pantun adat dan budaya,"Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara
Adat dijunjung pusaka dikenang
Budi bahasa penyeri negara","Sirih berlipat sirih pinang
Sirih dari Pulau Mutiara",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.375,12,9,11,11,0,1,0.000000,0.000000
"Jika hidup ingin berisi budi
Hormati janji dan ucapan","Jika hidup ingin berisi budi
Hormati janji dan ucapan",5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,11,9,11,9,0,1,0.000000,0.500000
"Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Ombak laut menghanyutkan perahu,
Namun budi dan akhlak tetap terjaga.",48,1170,Pantun cinta dan kasih,"Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih
Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.166667,11,12,10,10,0,1,0.000000,0.000000
"Jika rindu bukan sengketa
Mengapa hati terus bergoncang","Rindu yang sejati tidak memunculkan benturan,
Semata-mata keinginan yang membara.",45,1660,Pantun cinta dan kasih,"Burung nuri hinggap di sena
Menyisir bulu waktu petang
Jika rindu bukan sengketa
Mengapa hati terus bergoncang","Burung nuri hinggap di sena
Menyisir bulu waktu petang",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,0.623298,0.125,15,13,9,10,4,1,0.000000,0.000000
"Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Bunga bangsa memerlukan ilmu,
Tiang kehidupan membutuhkan amal.",26,514,Pantun pendidikan,"Angin pagi menyentuh daun
Embun jatuh di atas batu
Ilmu tinggi bukan sekadar daun
Namun amal jadi penentu","Angin pagi menyentuh daun
Embun jatuh di atas batu",DeepSeek-R1,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.25,10,12,11,9,0,1,0.000000,0.000000
"nenek murung jadi tertawa
melihat kakek main kelereng","Berlayar sampan ke pulau Jawa
Terbang tinggi si burung ketiteng",87,1718,Pantun jenaka,"burung pipit turun ke rawa
kakinya gerah kena belerang
nenek murung jadi tertawa
melihat kakek main kelerang","burung pipit turun ke rawa
kakinya gerah kena belerang",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,9,10,0,4,0.750000,0.875000
"Hati terkenang mulut menyebut
Rindu kini tiada penghujung","Pohon bambu lebat berserabut,
Perahu berlabuh di muara tanjung.",41,6406,Pantun cinta dan kasih,"Tenang-tenang air di laut
Sampan kolek mudik ke tanjung
Hati terkenang mulut menyebut
Rindu kini tiada penghujung","Tenang-tenang air di laut
Sampan kolek mudik ke tanjung",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,12,10,10,0,4,0.750000,0.875000
"cobalah terka pantunku ini
akar di atas pucuk di bawah","Harum semerbak bunga melati
Padi menguning di tengah sawah",91,4536,Pantun teka-teki,"pagi hari menanak nasi
nasi bekal orang di sawah
cobalah terka pantunku ini
akar di atas pucuk di bawah","pagi hari menanak nasi
nasi bekal orang di sawah",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,10,10,0,3,0.500000,0.750000
"Jika hidup mahu bersatu
Jaga rukun sesama bangsa","Burung nuri hinggap di batu
Memetik mangga manis terasa",80,2181,Pantun sosial dan kerukunan,"Gendang dipalu bertalu-talu
Tari zapin di balai desa
Jika hidup mahu bersatu
Jaga rukun sesama bangsa","Gendang dipalu bertalu-talu
Tari zapin di balai desa",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,10,9,9,0,4,0.750000,0.875000
"Jika hidup ingin penuh budi
Rendah hati jangan dilalai","Pergi ke sawah menanam padi
Menjala ikan di bawah pantai",6,5040,Pantun nasihat dan budi pekerti,"Pergi ke ladang memanen padi
Padi menguning siap dituai
Jika hidup ingin penuh budi
Rendah hati jangan dilalai","Pergi ke ladang memanen padi
Padi menguning siap dituai",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,10,9,0,3,0.500000,0.750000
"ketika ditanya semuanya diam
karena kentut tak berbunyi","Memetik mangga di tengah malam
Harum semerbak bunga melati",88,5682,Pantun jenaka,"pulang memancing badan kusam
mendapat ikan anak tenggiri
ketika ditanya semuanya diam
karena kentut tak berbunyi","pulang memancing badan kusam
mendapat ikan anak tenggiri",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,12,9,0,2,0.250000,0.625000
"Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Bunga melati tumbuh di semak,
Pakaian putih terlihat bersih.",48,1170,Pantun cinta dan kasih,"Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih
Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,10,10,0,4,0.750000,0.875000
"begini nasib jadi pedagang
kadang untung kadang rugi","Perahu laju membawa barang
Singgah di jeti membeli pagi",66,1275,Pantun kehidupan dan renungan,"bulan berkedip bintang datang
beli sarung di pasar pagi
begini nasib jadi pedagang
kadang untung kadang rugi","bulan berkedip bintang datang
beli sarung di pasar pagi",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,10,8,0,2,0.250000,0.625000
"Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang","Terbang melayang si burung jawa
Hinggap di ranting pohon mualang",62,2305,Pantun bakti keluarga,"Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang
Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang","Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,11,12,0,5,1.000000,1.000000
"Jika ingin hidup dikenang
Budi baik jadi pusaka","Terbang tinggi burung elang
Minggap sebentar di atas paka",2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,8,10,9,9,0,2,0.250000,0.625000
"Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Membeli beras di tengah pekan
Singgah sebentar di rumah asti",23,1637,Pantun pendidikan,"Burung merpati terbang ke taman
Hinggap sebentar di pohon jati
Kalau ingin masa depan aman
Belajarlah rajin sepenuh hati","Burung merpati terbang ke taman
Hinggap sebentar di pohon jati",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,10,11,0,2,0.250000,0.625000
"Rindu padamu kian berputar
Kasih terikat janji sejati","Pohon jati tumbuh membesar,
Menanam bunga di dalam peti.",46,3362,Pantun cinta dan kasih,"Ke taman bunga membeli mawar
Harumnya semerbak menawan hati
Rindu padamu kian berputar
Kasih terikat janji sejati","Ke taman bunga membeli mawar
Harumnya semerbak menawan hati",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,10,10,10,0,3,0.500000,0.750000
"Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit","Pohon kelapa meliuk dirasa
Buahnya jatuh di atas bukit",73,4132,Pantun kebangsaan,"Mentari pagi menyimbah desa
Kabut tersingkap di kaki bukit
Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit","Mentari pagi menyimbah desa
Kabut tersingkap di kaki bukit",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,11,10,10,10,0,3,0.500000,0.750000
"Jika hendak disayang kawan
Bersikap jujur sepanjang masa","Tinggi terbang si burung wan
Hinggap sebentar di dahan rasa",51,6151,Pantun persahabatan,"Sirih merah di dalam puan
Pinang muda dibelah rata
Jika hendak disayang kawan
Bersikap jujur sepanjang masa","Sirih merah di dalam puan
Pinang muda dibelah rata",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,8,10,9,10,0,2,0.250000,0.625000
"temanku ini memang cantik
sayang dia giginya ompong","Pohon bambu di tepi tasik
Membeli buah di dalam lorong",86,1326,Pantun jenaka,"bunga di taman jangan dipetik
tempat bergantung si kepompong
temanku ini memang cantik
sayang dia giginya ompong","bunga di taman jangan dipetik
tempat bergantung si kepompong",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,10,9,9,0,4,0.750000,0.875000
"jika kamu menaruh kasih
langsung kita ke pelaminan","Kain putih terlihat bersih,
Duduk santai di atas tampan.",43,1414,Pantun cinta dan kasih,"bunga melati warnanya putih
tertiup angin dibasuh hujan
jika kamu menaruh kasih
langsung kita ke pelaminan","bunga melati warnanya putih
tertiup angin dibasuh hujan",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,9,9,9,0,3,0.500000,0.750000
"Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Menanam padi di tengah laman
Membawa cangkul ke dalam desa",54,6148,Pantun persahabatan,"Sirih kuning dalam tempayan
Air jernih penuh isinya
Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Sirih kuning dalam tempayan
Air jernih penuh isinya",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,9,11,0,3,0.500000,0.750000
"rindu ini tak pernah usai
seperti laut mencinta Samudra","Pergi berlayar ke tepi pantai,
Melihat burung di atas muara.",49,4346,Pantun cinta dan kasih,"ombak lembut mencium pantai
pasir putih terlukis senja
rindu ini tak pernah usai
seperti laut mencinta Samudra","ombak lembut mencium pantai
pasir putih terlukis senja",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,11,9,11,0,4,0.750000,0.875000
"Jika hidup ingin berkah
Rajin ibadah setiap hari","Pohon mangga pohon nangka
Tumbuh subur di tanah sari",18,4555,Pantun agama,"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari","Pagi hari menuju sawah
Embun jatuh di daun padi",Gemini,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,8,9,8,10,0,2,0.250000,0.125000
"Jika ingin hidup bahagia
Bersikap jujur dan sabar","Tanam padi di dekat desa
Sawah luas membentang lebar",4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,9,10,8,0,4,0.750000,0.875000
"Budi bahasa jadi pegangan
Agar hidup sentiasa wajar","Pergi berlayar ke tengah lautan,
Melihat ombak menghempas layar.",32,1931,Pantun adat dan budaya,"Daun selasih di tepi laman
Disiram embun waktu fajar
Budi bahasa jadi pegangan
Agar hidup sentiasa wajar","Daun selasih di tepi laman
Disiram embun waktu fajar",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,10,10,0,4,0.750000,0.875000
"Jika hidup terasa panjang
Gunakan waktu untuk berkarya","Kayu cendana dipotong pajang
Dibawa pulang ke dalam daya",67,3196,Pantun kehidupan dan renungan,"Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga
Jika hidup terasa panjang
Gunakan waktu untuk berkarya","Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,10,9,10,0,2,0.250000,0.625000
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati","Membeli kain berwarna jingga
Mawar merah harum sekali",16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,10,9,11,11,0,3,0.500000,0.750000
"Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Perahu berlabuh di tepi tanjung,
Membeli kain berwarna biru.",33,4327,Pantun adat dan budaya,"Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu
Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,11,10,11,10,0,4,0.750000,0.875000
"Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Bunga mawar tumbuh di taman,
Harum baunya sepanjang masa.",50,1442,Pantun persahabatan,"Bunga tanjung di halaman
Harumnya semerbak kala senja
Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Bunga tanjung di halaman
Harumnya semerbak kala senja",Gemini,few_shot,Hasil Few-shot,2,2,1,1.0,0.0,9,9,10,11,0,4,0.750000,0.875000
"Jika hidup ingin berisi budi
Hormati janji dan ucapan","Membeli kain berjenis kadi
Ikan berenang di dalam kolam",5,4853,Pantun nasihat dan budi pekerti,"Pergi ke desa membawa padi
Padi ditukar dengan ikan
Jika hidup ingin berisi budi
Hormati janji dan ucapan","Pergi ke desa membawa padi
Padi ditukar dengan ikan",Gemini,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.0,10,10,11,9,0,2,0.250000,0.125000
"bermain layangan hatiku senang
bersama tiupan angin desa","Air sungai mengalir tenang,
Pohon rimbun di tengah desa.",98,3679,Pantun anak-anak,"laut luas tempat berenang
hutan hijau tempat si rusa
bermain layangan hatiku senang
bersama tiupan angin desa","laut luas tempat berenang
hutan hijau tempat si rusa",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.125,9,9,11,10,0,1,0.000000,0.500000
"Tutur santun wajah yang manis
Menenangkan hati mengikat kawan","Hujan turun gerimis-gerimis,
Terbang tinggi burung di awan.",55,2138,Pantun persahabatan,"Embun pagi jatuh setitis
Menyapa bunga di tepi jalan
Tutur santun wajah yang manis
Menenangkan hati mengikat kawan","Embun pagi jatuh setitis
Menyapa bunga di tepi jalan",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,9,9,11,0,4,0.750000,0.875000
"Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Beli kain bertenun satu
Bunga mawar harum memekar",3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,9,9,11,0,3,0.500000,0.750000
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati","Tinggi menjulang pohon kelapa
Ikan berenang di bawah titi",16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,11,11,0,4,0.750000,0.875000
"Jika ingin hidup mulia
Jujur selalu dalam hati","Anak kecil membawa piala
Mandi di sungai di pagi hari",11,1343,Pantun nasihat dan budi pekerti,"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati","Bunga kenanga harum baunya
Disimpan rapi di dalam peti",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,9,9,0,3,0.500000,0.750000
"Jika rindu bukan sengketa
Mengapa hati terus bergoncang","Indah diukir permata kota
Terbang tinggi si burung elang",45,1660,Pantun cinta dan kasih,"Burung nuri hinggap di sena
Menyisir bulu waktu petang
Jika rindu bukan sengketa
Mengapa hati terus bergoncang","Burung nuri hinggap di sena
Menyisir bulu waktu petang",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,9,9,10,0,4,0.750000,0.875000
"Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Berjalan santai di tepi jalan,
Mengayuh sampan di atas samudera.",74,1729,Pantun kebangsaan,"Burung serindit menyisir awan
Hinggap sebentar di dahan sena
Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Burung serindit menyisir awan
Hinggap sebentar di dahan sena",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,12,10,10,0,4,0.750000,0.875000
"Jika hidup ingin berkah
Rajin ibadah setiap hari","Pergi melaut membawa pukat
Mencari ikan hingga ke pantai",18,4555,Pantun agama,"Pagi hari menuju sawah
Embun jatuh di daun padi
Jika hidup ingin berkah
Rajin ibadah setiap hari","Pagi hari menuju sawah
Embun jatuh di daun padi",Gemini,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.0,10,10,8,10,0,2,0.250000,0.125000
