no,id_data_asli,model,setting,bertscore_p,bertscore_r,bertscore_f1
53,1337,Chat-GPT,few_shot,0.6800300478935242,0.6967872381210327,0.6883066892623901
53,1337,Gemini,zero_shot,0.6761159896850586,0.6631629467010498,0.6695768237113953
53,1337,Gemini,few_shot,0.7256169319152832,0.7198317050933838,0.7227126955986023
53,1337,Claude,zero_shot,0.7037309408187866,0.6984292268753052,0.7010700702667236
53,1337,Claude,few_shot,0.7105008959770203,0.7252168655395508,0.7177834510803223
53,1337,Llama 3.1: 8B,zero_shot,0.7054256200790405,0.6991284489631653,0.7022628784179688
53,1337,Llama 3.1: 8B,few_shot,0.6825097799301147,0.6947944164276123,0.6885973215103149
53,1337,Sailor2,zero_shot,0.682219386100769,0.6786913275718689,0.6804508566856384
53,1337,Sailor2,few_shot,0.7264288663864136,0.7243329286575317,0.7253793478012085
53,1337,DeepSeek-R1,zero_shot,0.6940392851829529,0.694254994392395,0.6941471695899963
53,1337,DeepSeek-R1,few_shot,0.6528984904289246,0.6522210836410522,0.6525596380233765
54,6148,Chat-GPT,zero_shot,0.6919280886650085,0.7034405469894409,0.6976368427276611
54,6148,Chat-GPT,few_shot,0.7292290925979614,0.7216020226478577,0.7253954410552979
54,6148,Gemini,zero_shot,0.7031121850013733,0.7019255757331848,0.7025183439254761
54,6148,Gemini,few_shot,0.7029850482940674,0.7105040550231934,0.7067245244979858
54,6148,Claude,zero_shot,0.7035380601882935,0.7087138891220093,0.7061164975166321
54,6148,Claude,few_shot,0.7185390591621399,0.707292914390564,0.7128716111183167
54,6148,Llama 3.1: 8B,zero_shot,0.706670343875885,0.7204022407531738,0.7134702801704407
54,6148,Llama 3.1: 8B,few_shot,0.7168115377426147,0.742114245891571,0.7292435169219971
54,6148,Sailor2,zero_shot,0.6910608410835266,0.7090574502944946,0.6999434232711792
54,6148,Sailor2,few_shot,0.7160949110984802,0.737130880355835,0.7264606356620789
54,6148,DeepSeek-R1,zero_shot,0.7041659355163574,0.720801830291748,0.7123867273330688
54,6148,DeepSeek-R1,few_shot,0.7086485028266907,0.7168385982513428,0.7127200365066528
55,2138,Chat-GPT,zero_shot,0.6908392310142517,0.7062053084373474,0.6984377503395081
55,2138,Chat-GPT,few_shot,0.6929807662963867,0.6980046033859253,0.6954836249351501
55,2138,Gemini,zero_shot,0.6874732971191406,0.6832809448242188,0.6853707432746887
55,2138,Gemini,few_shot,0.7096991539001465,0.7013441324234009,0.7054969072341919
55,2138,Claude,zero_shot,0.733676552772522,0.758812665939331,0.7460329532623291
55,2138,Claude,few_shot,0.709956169128418,0.7034643888473511,0.7066953778266907
55,2138,Llama 3.1: 8B,zero_shot,0.7031961679458618,0.7243251800537109,0.7136042714118958
55,2138,Llama 3.1: 8B,few_shot,0.6824022531509399,0.6894146203994751,0.6858904957771301
55,2138,Sailor2,zero_shot,0.6597562432289124,0.6865299940109253,0.6728768944740295
55,2138,Sailor2,few_shot,0.6569861769676208,0.6592074632644653,0.6580949425697327
55,2138,DeepSeek-R1,zero_shot,0.677386462688446,0.6958565711975098,0.6864972710609436
55,2138,DeepSeek-R1,few_shot,0.7081063985824585,0.7162727117538452,0.7121661305427551
56,6440,Chat-GPT,zero_shot,0.8666492104530334,0.8553804755210876,0.8609780073165894
56,6440,Chat-GPT,few_shot,0.7716426849365234,0.7625644207000732,0.7670766711235046
56,6440,Gemini,zero_shot,0.7484301328659058,0.7496179342269897,0.7490235567092896
56,6440,Gemini,few_shot,0.7572609186172485,0.7854858636856079,0.771115243434906
56,6440,Claude,zero_shot,0.6842406392097473,0.7064681649208069,0.6951767802238464
56,6440,Claude,few_shot,0.7223377227783203,0.7508373260498047,0.7363117933273315
56,6440,Llama 3.1: 8B,zero_shot,0.7226294279098511,0.7386474609375,0.7305507063865662
56,6440,Llama 3.1: 8B,few_shot,0.630394458770752,0.6527215242385864,0.6413637399673462
56,6440,Sailor2,zero_shot,0.6892857551574707,0.7166508436203003,0.702701985836029
56,6440,Sailor2,few_shot,0.6827753782272339,0.6783506870269775,0.6805558204650879
56,6440,DeepSeek-R1,zero_shot,0.6795517802238464,0.698049008846283,0.6886761784553528
56,6440,DeepSeek-R1,few_shot,0.71692955493927,0.7149109840393066,0.7159188389778137
57,6154,Chat-GPT,zero_shot,0.6825502514839172,0.7016304135322571,0.6919588446617126
57,6154,Chat-GPT,few_shot,0.681421160697937,0.6914300918579102,0.686389148235321
57,6154,Gemini,zero_shot,0.7039204835891724,0.6807789206504822,0.6921563744544983
57,6154,Gemini,few_shot,0.7379512786865234,0.7393592000007629,0.738654613494873
57,6154,Claude,zero_shot,0.7175636291503906,0.7164987921714783,0.7170307636260986
57,6154,Claude,few_shot,0.6212671995162964,0.6302778720855713,0.6257400512695312
57,6154,Llama 3.1: 8B,zero_shot,0.6643102169036865,0.6596866250038147,0.6619904041290283
57,6154,Llama 3.1: 8B,few_shot,0.6484749913215637,0.6568717956542969,0.6526464223861694
57,6154,Sailor2,zero_shot,0.6414248943328857,0.641344428062439,0.6413846611976624
57,6154,Sailor2,few_shot,0.6964353322982788,0.6976544857025146,0.6970443725585938
57,6154,DeepSeek-R1,zero_shot,0.6804367303848267,0.6883137822151184,0.6843525767326355
57,6154,DeepSeek-R1,few_shot,0.704308271408081,0.6963942050933838,0.7003288865089417
58,4968,Chat-GPT,zero_shot,0.6676503419876099,0.667833685874939,0.6677420139312744
58,4968,Chat-GPT,few_shot,0.7591864466667175,0.7575929164886475,0.7583887577056885
58,4968,Gemini,zero_shot,0.7033501863479614,0.7018805742263794,0.7026146054267883
58,4968,Gemini,few_shot,0.7243647575378418,0.7234702110290527,0.7239171862602234
58,4968,Claude,zero_shot,0.6758121252059937,0.6736857891082764,0.6747472882270813
58,4968,Claude,few_shot,0.7606114745140076,0.7584336996078491,0.7595210671424866
58,4968,Llama 3.1: 8B,zero_shot,0.6503829956054688,0.6493140459060669,0.6498481035232544
58,4968,Llama 3.1: 8B,few_shot,0.7077266573905945,0.6912658214569092,0.6993993520736694
58,4968,Sailor2,zero_shot,0.6783310174942017,0.6640273332595825,0.6711029410362244
58,4968,Sailor2,few_shot,0.6518157720565796,0.6515815258026123,0.6516985893249512
58,4968,DeepSeek-R1,zero_shot,0.6559816002845764,0.6809616088867188,0.6682382822036743
58,4968,DeepSeek-R1,few_shot,0.6474125385284424,0.6369097232818604,0.6421182155609131
59,5859,Chat-GPT,zero_shot,0.7286025881767273,0.7255731821060181,0.727084755897522
59,5859,Chat-GPT,few_shot,0.7169535756111145,0.7019416093826294,0.709368109703064
59,5859,Gemini,zero_shot,0.7215580940246582,0.6927794218063354,0.7068759799003601
59,5859,Gemini,few_shot,0.7078571915626526,0.6922857165336609,0.6999848484992981
59,5859,Claude,zero_shot,0.7255367040634155,0.7094784379005432,0.7174176573753357
59,5859,Claude,few_shot,0.7194347381591797,0.7201911211013794,0.7198126912117004
59,5859,Llama 3.1: 8B,zero_shot,0.7197675704956055,0.697069525718689,0.7082367539405823
59,5859,Llama 3.1: 8B,few_shot,0.6879926919937134,0.6813634634017944,0.6846620440483093
59,5859,Sailor2,zero_shot,0.6837092638015747,0.6727241277694702,0.6781721711158752
59,5859,Sailor2,few_shot,0.6802557706832886,0.6630762815475464,0.6715561747550964
59,5859,DeepSeek-R1,zero_shot,0.6870670914649963,0.6829221248626709,0.6849883794784546
59,5859,DeepSeek-R1,few_shot,0.6920446753501892,0.6837215423583984,0.6878578662872314
60,1710,Chat-GPT,zero_shot,0.6956371068954468,0.7125052809715271,0.703970193862915
60,1710,Chat-GPT,few_shot,0.6377018690109253,0.6673866510391235,0.6522066593170166
60,1710,Gemini,zero_shot,0.7032463550567627,0.7022312879562378,0.7027384638786316
60,1710,Gemini,few_shot,0.7595975399017334,0.7783956527709961,0.7688816785812378
60,1710,Claude,zero_shot,0.6742544770240784,0.6901713609695435,0.6821200847625732
60,1710,Claude,few_shot,0.7173396348953247,0.7216075658798218,0.719467282295227
60,1710,Llama 3.1: 8B,zero_shot,0.703682541847229,0.7120044231414795,0.7078190445899963
60,1710,Llama 3.1: 8B,few_shot,0.6529648303985596,0.6699269413948059,0.66133713722229
60,1710,Sailor2,zero_shot,0.6694992184638977,0.7088947296142578,0.6886340379714966
60,1710,Sailor2,few_shot,0.6642059087753296,0.6626721620559692,0.6634381413459778
60,1710,DeepSeek-R1,zero_shot,0.6469152569770813,0.6890175342559814,0.6673030257225037
60,1710,DeepSeek-R1,few_shot,0.6920608282089233,0.7090529203414917,0.7004538178443909
61,2906,Chat-GPT,zero_shot,0.729583740234375,0.7085574865341187,0.7189169526100159
61,2906,Chat-GPT,few_shot,0.6997888088226318,0.7033631205558777,0.7015714049339294
61,2906,Gemini,zero_shot,0.692755401134491,0.6754850149154663,0.6840112805366516
61,2906,Gemini,few_shot,0.718842625617981,0.6977481842041016,0.7081383466720581
61,2906,Claude,zero_shot,0.694635808467865,0.6792120933532715,0.6868373155593872
61,2906,Claude,few_shot,0.6848981380462646,0.6759635210037231,0.6804015040397644
61,2906,Llama 3.1: 8B,zero_shot,0.7064013481140137,0.6930718421936035,0.6996731162071228
61,2906,Llama 3.1: 8B,few_shot,0.694530725479126,0.6656989455223083,0.6798092722892761
61,2906,Sailor2,zero_shot,0.6624805927276611,0.6597785949707031,0.6611268520355225
61,2906,Sailor2,few_shot,0.6886956691741943,0.6817635297775269,0.6852120757102966
61,2906,DeepSeek-R1,zero_shot,0.6582924127578735,0.6580414772033691,0.6581668853759766
61,2906,DeepSeek-R1,few_shot,0.6833443641662598,0.6749212741851807,0.6791066527366638
62,2305,Chat-GPT,zero_shot,0.7211785316467285,0.7130197286605835,0.7170759439468384
62,2305,Chat-GPT,few_shot,0.6656331419944763,0.6574920415878296,0.6615375876426697
62,2305,Gemini,zero_shot,0.6930320262908936,0.673404335975647,0.6830772161483765
62,2305,Gemini,few_shot,0.757372260093689,0.7450905442237854,0.7511811852455139
62,2305,Claude,zero_shot,0.7455108761787415,0.7290942668914795,0.7372112274169922
62,2305,Claude,few_shot,0.6511898636817932,0.6613979339599609,0.656254231929779
62,2305,Llama 3.1: 8B,zero_shot,0.6946215629577637,0.7039574384689331,0.6992583274841309
62,2305,Llama 3.1: 8B,few_shot,0.7066277861595154,0.6943117380142212,0.7004156708717346
62,2305,Sailor2,zero_shot,0.6853171586990356,0.6799748539924622,0.6826355457305908
62,2305,Sailor2,few_shot,0.671893298625946,0.6734051704406738,0.6726483702659607
62,2305,DeepSeek-R1,zero_shot,0.6733068227767944,0.6692560911178589,0.6712753176689148
62,2305,DeepSeek-R1,few_shot,0.6591689586639404,0.6641879081726074,0.6616689562797546
63,1505,Chat-GPT,zero_shot,0.6744870543479919,0.6902329921722412,0.6822691559791565
63,1505,Chat-GPT,few_shot,0.6381986141204834,0.6568930149078369,0.6474109292030334
63,1505,Gemini,zero_shot,0.7118666172027588,0.722695529460907,0.7172401547431946
63,1505,Gemini,few_shot,0.6768818497657776,0.6805573105812073,0.6787145733833313
63,1505,Claude,zero_shot,0.6682855486869812,0.676819920539856,0.6725257039070129
63,1505,Claude,few_shot,0.7019739151000977,0.6931391954421997,0.697528600692749
63,1505,Llama 3.1: 8B,zero_shot,0.684192419052124,0.6822285652160645,0.6832091212272644
63,1505,Llama 3.1: 8B,few_shot,0.6693068742752075,0.6787230372428894,0.6739820837974548
63,1505,Sailor2,zero_shot,0.6602405309677124,0.660530149936676,0.660385251045227
63,1505,Sailor2,few_shot,0.6986801624298096,0.7050271034240723,0.70183926820755
63,1505,DeepSeek-R1,zero_shot,0.6619490385055542,0.6709399223327637,0.6664141416549683
63,1505,DeepSeek-R1,few_shot,0.6160649061203003,0.638920247554779,0.6272845268249512
64,1377,Chat-GPT,zero_shot,0.7217186689376831,0.7301930785179138,0.7259311676025391
64,1377,Chat-GPT,few_shot,0.7401846647262573,0.7335206866264343,0.73683762550354
64,1377,Gemini,zero_shot,0.7242846488952637,0.6939635276794434,0.7087999582290649
64,1377,Gemini,few_shot,0.7173887491226196,0.7181961536407471,0.7177922129631042
64,1377,Claude,zero_shot,0.6793993711471558,0.7015308141708374,0.6902877688407898
64,1377,Claude,few_shot,0.7279079556465149,0.7272903323173523,0.727599024772644
64,1377,Llama 3.1: 8B,zero_shot,0.6931396722793579,0.6984360218048096,0.6957777738571167
64,1377,Llama 3.1: 8B,few_shot,0.660892128944397,0.6625574827194214,0.6617237329483032
64,1377,Sailor2,zero_shot,0.6660847067832947,0.6742274761199951,0.6701313257217407
64,1377,Sailor2,few_shot,0.6592284440994263,0.6665397882461548,0.6628639698028564
64,1377,DeepSeek-R1,zero_shot,0.6405170559883118,0.6591646671295166,0.6497071385383606
64,1377,DeepSeek-R1,few_shot,0.6643915176391602,0.6841647028923035,0.6741331219673157
65,1473,Chat-GPT,zero_shot,0.6834701299667358,0.6984049081802368,0.6908568143844604
65,1473,Chat-GPT,few_shot,0.7178789377212524,0.7491140961647034,0.7331640124320984
65,1473,Gemini,zero_shot,0.7276376485824585,0.7175735831260681,0.7225705981254578
65,1473,Gemini,few_shot,0.7285937666893005,0.7363650798797607,0.732458770275116
65,1473,Claude,zero_shot,0.699411153793335,0.7442853450775146,0.721150815486908
65,1473,Claude,few_shot,0.7246925830841064,0.727617621421814,0.7261521816253662
65,1473,Llama 3.1: 8B,zero_shot,0.69948410987854,0.7104710936546326,0.7049347758293152
65,1473,Llama 3.1: 8B,few_shot,0.6816873550415039,0.7143637537956238,0.6976431012153625
65,1473,Sailor2,zero_shot,0.6682187914848328,0.6842237710952759,0.6761265993118286
65,1473,Sailor2,few_shot,0.6682606935501099,0.6676163673400879,0.6679383516311646
65,1473,DeepSeek-R1,zero_shot,0.6583053469657898,0.680769681930542,0.6693490743637085
65,1473,DeepSeek-R1,few_shot,0.6624614000320435,0.674656331539154,0.6685032844543457
66,1275,Chat-GPT,zero_shot,0.701420783996582,0.69646155834198,0.6989323496818542
66,1275,Chat-GPT,few_shot,0.6596933603286743,0.6519943475723267,0.6558212637901306
66,1275,Gemini,zero_shot,0.6772177219390869,0.6599849462509155,0.6684902906417847
66,1275,Gemini,few_shot,0.6907721757888794,0.6759146451950073,0.6832626461982727
66,1275,Claude,zero_shot,0.6624487638473511,0.6633330583572388,0.662890613079071
66,1275,Claude,few_shot,0.6621152758598328,0.6715391278266907,0.6667938828468323
66,1275,Llama 3.1: 8B,zero_shot,0.6617652177810669,0.665717601776123,0.6637355089187622
66,1275,Llama 3.1: 8B,few_shot,0.5846782326698303,0.5944278240203857,0.5895127654075623
66,1275,Sailor2,zero_shot,0.6161967515945435,0.6378592252731323,0.6268408894538879
66,1275,Sailor2,few_shot,0.6621014475822449,0.6599758863449097,0.6610369682312012
66,1275,DeepSeek-R1,zero_shot,0.6307334303855896,0.6384086012840271,0.6345478296279907
66,1275,DeepSeek-R1,few_shot,0.6757822036743164,0.6848098039627075,0.6802660226821899
67,3196,Chat-GPT,zero_shot,0.7115986347198486,0.6920806765556335,0.7017039656639099
67,3196,Chat-GPT,few_shot,0.6843757629394531,0.6767936944961548,0.6805636286735535
67,3196,Gemini,zero_shot,0.7096892595291138,0.7171722650527954,0.7134110927581787
67,3196,Gemini,few_shot,0.717048704624176,0.7169874310493469,0.7170180678367615
67,3196,Claude,zero_shot,0.6876859664916992,0.7038090229034424,0.6956540942192078
67,3196,Claude,few_shot,0.7185963988304138,0.6983300447463989,0.7083183526992798
67,3196,Llama 3.1: 8B,zero_shot,0.6716654300689697,0.6436022520065308,0.6573345065116882
67,3196,Llama 3.1: 8B,few_shot,0.6494008302688599,0.6464439630508423,0.6479189991950989
67,3196,Sailor2,zero_shot,0.6768934726715088,0.668516993522644,0.6726791858673096
67,3196,Sailor2,few_shot,0.6549999713897705,0.6441048383712769,0.649506688117981
67,3196,DeepSeek-R1,zero_shot,0.6616756916046143,0.6429427862167358,0.652174711227417
67,3196,DeepSeek-R1,few_shot,0.6833361387252808,0.6785265207290649,0.6809228658676147
68,3263,Chat-GPT,zero_shot,0.6527355313301086,0.6484997272491455,0.6506107449531555
68,3263,Chat-GPT,few_shot,0.63249671459198,0.6410425305366516,0.6367409229278564
68,3263,Gemini,zero_shot,0.5935221314430237,0.5893211960792542,0.591414213180542
68,3263,Gemini,few_shot,0.6745474338531494,0.6620572209358215,0.6682440042495728
68,3263,Claude,zero_shot,0.7110084295272827,0.7217464447021484,0.7163372039794922
68,3263,Claude,few_shot,0.657011866569519,0.6527099609375,0.654853880405426
68,3263,Llama 3.1: 8B,zero_shot,0.6459248065948486,0.6412427425384521,0.6435752511024475
68,3263,Llama 3.1: 8B,few_shot,0.6233619451522827,0.640256404876709,0.6316962242126465
68,3263,Sailor2,zero_shot,0.6262454390525818,0.6250777244567871,0.6256610155105591
68,3263,Sailor2,few_shot,0.6232591271400452,0.6218956708908081,0.6225765943527222
68,3263,DeepSeek-R1,zero_shot,0.610677182674408,0.6381087303161621,0.624091625213623
68,3263,DeepSeek-R1,few_shot,0.6185887455940247,0.6389397978782654,0.6285995841026306
69,3326,Chat-GPT,zero_shot,0.6661414504051208,0.6255303025245667,0.6451974511146545
69,3326,Chat-GPT,few_shot,0.6970940828323364,0.6851118206977844,0.6910510063171387
69,3326,Gemini,zero_shot,0.6915935277938843,0.6709501147270203,0.681115448474884
69,3326,Gemini,few_shot,0.7309781312942505,0.7331199049949646,0.7320474982261658
69,3326,Claude,zero_shot,0.7245245575904846,0.711952805519104,0.7181836366653442
69,3326,Claude,few_shot,0.6924412250518799,0.6756418943405151,0.6839384436607361
69,3326,Llama 3.1: 8B,zero_shot,0.658379077911377,0.6367169618606567,0.6473668813705444
69,3326,Llama 3.1: 8B,few_shot,0.690669059753418,0.670024037361145,0.6801899075508118
69,3326,Sailor2,zero_shot,0.6778737306594849,0.6664078235626221,0.6720919013023376
69,3326,Sailor2,few_shot,0.6838051676750183,0.670303225517273,0.6769868731498718
69,3326,DeepSeek-R1,zero_shot,0.6568081378936768,0.656399130821228,0.6566035747528076
69,3326,DeepSeek-R1,few_shot,0.683607816696167,0.6899162530899048,0.6867475509643555
70,1466,Chat-GPT,zero_shot,0.786175012588501,0.8009457588195801,0.7934916615486145
70,1466,Chat-GPT,few_shot,0.7774007320404053,0.7836371660232544,0.7805064916610718
70,1466,Gemini,zero_shot,0.7049933671951294,0.6954864263534546,0.7002076506614685
70,1466,Gemini,few_shot,0.7164233326911926,0.7207353115081787,0.7185728549957275
70,1466,Claude,zero_shot,0.7541215419769287,0.7331662178039551,0.7434962391853333
70,1466,Claude,few_shot,0.7237710952758789,0.6978400349617004,0.7105691432952881
70,1466,Llama 3.1: 8B,zero_shot,0.814058244228363,0.7990168333053589,0.8064674139022827
70,1466,Llama 3.1: 8B,few_shot,0.6686047315597534,0.6648489236831665,0.666721522808075
70,1466,Sailor2,zero_shot,0.6946959495544434,0.7095673680305481,0.7020529508590698
70,1466,Sailor2,few_shot,0.7035260200500488,0.685141921043396,0.6942122578620911
70,1466,DeepSeek-R1,zero_shot,0.6878763437271118,0.6998536586761475,0.6938133239746094
70,1466,DeepSeek-R1,few_shot,0.746171236038208,0.7664890289306641,0.7561936974525452
71,5770,Chat-GPT,zero_shot,0.6665186882019043,0.6541668176651001,0.6602849960327148
71,5770,Chat-GPT,few_shot,0.6942377090454102,0.6755307912826538,0.6847565174102783
71,5770,Gemini,zero_shot,0.6824520230293274,0.6827582120895386,0.6826050281524658
71,5770,Gemini,few_shot,0.6614147424697876,0.6571712493896484,0.6592862010002136
71,5770,Claude,zero_shot,0.7109287977218628,0.7004977464675903,0.7056747078895569
71,5770,Claude,few_shot,0.6791055202484131,0.6730898022651672,0.6760842800140381
71,5770,Llama 3.1: 8B,zero_shot,0.6719035506248474,0.6632570028305054,0.6675522923469543
71,5770,Llama 3.1: 8B,few_shot,0.6546658277511597,0.659488320350647,0.6570681929588318
71,5770,Sailor2,zero_shot,0.6212948560714722,0.6243845224380493,0.6228358745574951
71,5770,Sailor2,few_shot,0.6669735908508301,0.691153883934021,0.6788485050201416
71,5770,DeepSeek-R1,zero_shot,0.6205207109451294,0.6271555423736572,0.6238204836845398
71,5770,DeepSeek-R1,few_shot,0.6365218162536621,0.6395403146743774,0.6380274891853333
72,1095,Chat-GPT,zero_shot,0.675365149974823,0.6750437021255493,0.6752044558525085
72,1095,Chat-GPT,few_shot,0.6998722553253174,0.704933762550354,0.7023938894271851
72,1095,Gemini,zero_shot,0.6804770827293396,0.6572160720825195,0.6686443090438843
72,1095,Gemini,few_shot,0.7335745692253113,0.7460132241249084,0.7397416234016418
72,1095,Claude,zero_shot,0.7295230627059937,0.7334499359130859,0.7314811944961548
72,1095,Claude,few_shot,0.7650549411773682,0.7711241245269775,0.768077552318573
72,1095,Llama 3.1: 8B,zero_shot,0.7183545827865601,0.7265130281448364,0.7224107980728149
72,1095,Llama 3.1: 8B,few_shot,0.663211464881897,0.6586153507232666,0.6609054207801819
72,1095,Sailor2,zero_shot,0.707598090171814,0.7119175791740417,0.709751307964325
72,1095,Sailor2,few_shot,0.6996968984603882,0.7086038589477539,0.7041221857070923
72,1095,DeepSeek-R1,zero_shot,0.6801577210426331,0.6962799429893494,0.688124418258667
72,1095,DeepSeek-R1,few_shot,0.6645368337631226,0.6597667932510376,0.6621432304382324
73,4132,Chat-GPT,zero_shot,0.7341169118881226,0.742221474647522,0.738146960735321
73,4132,Chat-GPT,few_shot,0.7322080135345459,0.7386672496795654,0.7354234457015991
73,4132,Gemini,zero_shot,0.6971213817596436,0.6906329393386841,0.6938620209693909
73,4132,Gemini,few_shot,0.7218334674835205,0.7376916408538818,0.729676365852356
73,4132,Claude,zero_shot,0.7060959339141846,0.7184618711471558,0.7122251987457275
73,4132,Claude,few_shot,0.7227742671966553,0.7183444499969482,0.7205525040626526
73,4132,Llama 3.1: 8B,zero_shot,0.7190647125244141,0.7147531509399414,0.7169024348258972
73,4132,Llama 3.1: 8B,few_shot,0.6863853335380554,0.682081937789917,0.6842268109321594
73,4132,Sailor2,zero_shot,0.7112533450126648,0.712439239025116,0.7118457555770874
73,4132,Sailor2,few_shot,0.6906094551086426,0.6947147846221924,0.6926560401916504
73,4132,DeepSeek-R1,zero_shot,0.6679686307907104,0.6938509941101074,0.6806638836860657
73,4132,DeepSeek-R1,few_shot,0.6529096364974976,0.6653303503990173,0.6590614914894104
74,1729,Chat-GPT,zero_shot,0.7184780836105347,0.7159881591796875,0.7172309756278992
74,1729,Chat-GPT,few_shot,0.7075300216674805,0.7111079096794128,0.7093144059181213
74,1729,Gemini,zero_shot,0.7145469784736633,0.6975688934326172,0.7059559226036072
74,1729,Gemini,few_shot,0.7604807019233704,0.7468537092208862,0.7536056041717529
74,1729,Claude,zero_shot,0.7534914016723633,0.7498538494110107,0.7516682147979736
74,1729,Claude,few_shot,0.695234477519989,0.6935820579528809,0.6944072842597961
74,1729,Llama 3.1: 8B,zero_shot,0.7150228023529053,0.715409517288208,0.7152161002159119
74,1729,Llama 3.1: 8B,few_shot,0.7192012071609497,0.6941637992858887,0.70646071434021
74,1729,Sailor2,zero_shot,0.676044225692749,0.6838821768760681,0.6799405813217163
74,1729,Sailor2,few_shot,0.6909900903701782,0.6820203065872192,0.686475932598114
74,1729,DeepSeek-R1,zero_shot,0.6823723316192627,0.6749893426895142,0.6786607503890991
74,1729,DeepSeek-R1,few_shot,0.6419368982315063,0.6374616622924805,0.6396914720535278
75,1347,Chat-GPT,zero_shot,0.6667966842651367,0.6431331634521484,0.654751181602478
75,1347,Chat-GPT,few_shot,0.5852041244506836,0.5803534984588623,0.5827687382698059
75,1347,Gemini,zero_shot,0.6838963031768799,0.6841106414794922,0.6840034127235413
75,1347,Gemini,few_shot,0.7234774827957153,0.7175911664962769,0.7205222845077515
75,1347,Claude,zero_shot,0.7085416913032532,0.7082629799842834,0.7084023356437683
75,1347,Claude,few_shot,0.6587086319923401,0.6633074879646301,0.6610000729560852
75,1347,Llama 3.1: 8B,zero_shot,0.65897136926651,0.6472130417823792,0.653039276599884
75,1347,Llama 3.1: 8B,few_shot,0.6670365333557129,0.6833934783935547,0.6751159429550171
75,1347,Sailor2,zero_shot,0.6476932764053345,0.6313832998275757,0.6394343376159668
75,1347,Sailor2,few_shot,0.607345700263977,0.6077331304550171,0.6075393557548523
75,1347,DeepSeek-R1,zero_shot,0.6840247511863708,0.6874395608901978,0.6857278943061829
75,1347,DeepSeek-R1,few_shot,0.7194015979766846,0.7114551067352295,0.7154062390327454
76,1671,Chat-GPT,zero_shot,0.7653207182884216,0.7662268877029419,0.765773594379425
76,1671,Chat-GPT,few_shot,0.7890453338623047,0.7883496284484863,0.788697361946106
76,1671,Gemini,zero_shot,0.7427515387535095,0.7715914249420166,0.7568968534469604
76,1671,Gemini,few_shot,0.7123374342918396,0.7083191871643066,0.7103225588798523
76,1671,Claude,zero_shot,0.7068696022033691,0.7093497514724731,0.7081074714660645
76,1671,Claude,few_shot,0.7041716575622559,0.7168188095092773,0.7104389667510986
76,1671,Llama 3.1: 8B,zero_shot,0.7104863524436951,0.7102384567260742,0.7103623151779175
76,1671,Llama 3.1: 8B,few_shot,0.7331898212432861,0.746096134185791,0.7395866513252258
76,1671,Sailor2,zero_shot,0.7127540707588196,0.7072255611419678,0.7099791169166565
76,1671,Sailor2,few_shot,0.7078450322151184,0.7118980884552002,0.7098658084869385
76,1671,DeepSeek-R1,zero_shot,0.7063505053520203,0.7029582262039185,0.7046502828598022
76,1671,DeepSeek-R1,few_shot,0.7318878173828125,0.7554113268852234,0.7434635162353516
77,1606,Chat-GPT,zero_shot,0.7645673751831055,0.7680470943450928,0.766303300857544
77,1606,Chat-GPT,few_shot,0.8141990900039673,0.8008856773376465,0.8074875473976135
77,1606,Gemini,zero_shot,0.8035755157470703,0.784329354763031,0.7938357591629028
77,1606,Gemini,few_shot,0.7514366507530212,0.7380067110061646,0.7446612119674683
77,1606,Claude,zero_shot,0.7179994583129883,0.715617299079895,0.7168064117431641
77,1606,Claude,few_shot,0.6923465728759766,0.6759934425354004,0.6840723156929016
77,1606,Llama 3.1: 8B,zero_shot,0.7092053294181824,0.7068747878074646,0.7080380916595459
77,1606,Llama 3.1: 8B,few_shot,0.6847244501113892,0.6852246522903442,0.6849744319915771
77,1606,Sailor2,zero_shot,0.6850473880767822,0.6711915731430054,0.6780487298965454
77,1606,Sailor2,few_shot,0.71718829870224,0.7111281156539917,0.7141453623771667
77,1606,DeepSeek-R1,zero_shot,0.680759072303772,0.6890136003494263,0.6848614811897278
77,1606,DeepSeek-R1,few_shot,0.7068634629249573,0.716841459274292,0.7118175029754639
78,4854,Chat-GPT,zero_shot,0.7236843109130859,0.7285240292549133,0.7260960936546326
78,4854,Chat-GPT,few_shot,0.7301657795906067,0.7579604387283325,0.7438035011291504
78,4854,Gemini,zero_shot,0.684573769569397,0.6776623129844666,0.6811005473136902
78,4854,Gemini,few_shot,0.7313706278800964,0.7655867338180542,0.7480876445770264
78,4854,Claude,zero_shot,0.6616104245185852,0.6709341406822205,0.6662396192550659
78,4854,Claude,few_shot,0.6923071146011353,0.712660014629364,0.7023361921310425
78,4854,Llama 3.1: 8B,zero_shot,0.6862428188323975,0.6858093738555908,0.6860260367393494
78,4854,Llama 3.1: 8B,few_shot,0.6778570413589478,0.6931283473968506,0.6854076385498047
78,4854,Sailor2,zero_shot,0.6826564073562622,0.6796343922615051,0.6811420321464539
78,4854,Sailor2,few_shot,0.6703144311904907,0.6595709323883057,0.6648992896080017
78,4854,DeepSeek-R1,zero_shot,0.6768290996551514,0.6830272674560547,0.6799140572547913
78,4854,DeepSeek-R1,few_shot,0.6930221319198608,0.7027371525764465,0.6978457570075989
79,1697,Chat-GPT,zero_shot,0.7121821641921997,0.7061589360237122,0.7091577053070068
