No.	ID Data Asli	Jenis Pantun	Pantun Asli Lengkap	Sampiran Asli	Isi untuk Input Model	Chat-GPT	Chat-GPT	Gemini	Gemini	Claude	Claude	Llama 3.1: 8B	Llama 3.1: 8B	Sailor2	Sailor2	DeepSeek-R1	DeepSeek-R1
50	1442	Pantun persahabatan	"Bunga tanjung di halaman
Harumnya semerbak kala senja
Jika ingin dihormati teman
Bersikap rendah hati sentiasa"	"Bunga tanjung di halaman
Harumnya semerbak kala senja"	"Jika ingin dihormati teman
Bersikap rendah hati sentiasa"	"Jika ingin disayang teman
Bersikap ramah sepanjang masa"	"Jika melintas di depan taman
Tersenyumlah kepada semua sentiasa"	"Memetik bunga di dalam taman
Harum baunya sepanjang masa"	"Bunga mawar tumbuh di taman,
Harum baunya sepanjang masa."	"Kalau berjalan menuju hutan
Hidup sederhana di desa"	"Pergi ke kebun memetik rambutan
Hidup rukun sepanjang masa"	"Jika kamu ingin dihargai dan dihormati oleh orang lain
Selalulah bersikap rendah hati dan hormat kepada mereka"	"Jika ingin dihormati teman
Bersikap rendah hati sentiasa"	"Jika ingin, dihormati teman
Bersikap rendah hati, sentiasa, hormat terjaga"	"Kembang mawar indah dengan duri halus,
Tanda hormat yang membuat kita disayangi."	"Hormati teman agar senantiasa bersama,
Rendah hati dan saran akan abadi selamanya."	"Agar dihormati sebagai teman
Rendah hati harus tetap dijaga"
51	6151	Pantun persahabatan	"Sirih merah di dalam puan
Pinang muda dibelah rata
Jika hendak disayang kawan
Bersikap jujur sepanjang masa"	"Sirih merah di dalam puan
Pinang muda dibelah rata"	"Jika hendak disayang kawan
Bersikap jujur sepanjang masa"	"Burung cendrawasih terbang berawan
Singgah sebentar di Kota Nasa"	"Burung punai hinggap di dahan
Air mengalir ke sawah desa"	"Burung camar terbang di awan
Hinggap sebentar di pohon desa"	"Tinggi terbang si burung wan
Hinggap sebentar di dahan rasa"	"Burung camar terbang ke awan
Singgah sebentar mencari pala"	"Elang terbang tinggi ke awan
Sungai mengalir jauh ke desa"	"Hendak disayang kawan
Bersikap jujur sepanjang masa"	"Samarinda pagi yang cerah
Hari masih baru dan segar"	"Jika ingin disayangi kawan
Jujur hati, setia menjadi tauladan"	"Pohon kelapa di tepi pantai,
Hidayah kejujuran membawa damai."	"Hendaklah kau bijaksana
Tak pernah berbohong di saat itu"	"Hanya dengan jujur dan tulus
Bisa membangun persahabatan abadi"
52	1714	Pantun persahabatan	"Burung pipit terbang rendah
Hinggap sebentar di pohon cemara
Jika hati selalu ramah
Banyak sahabat datang menyapa"	"Burung pipit terbang rendah
Hinggap sebentar di pohon cemara"	"Jika hati selalu ramah
Banyak sahabat datang menyapa"	"Burung merbah hinggap di rumah
Anak gembala duduk menyapa"	"Bunga cempaka mekar merekah
Burung merbah berkicau di napa"	"Indah mengembang bunga di rumah,
Memetik buah di pohon kelapa."	"Ke hulu sungai membeli kurmah
Membawa raga berisi kelapa"	"Pergi ke kebun memetik buah
Singgah sejenak di kedai kita"	"Burung pipit hinggap di rumah
Pohon kelapa tumbuh di pantai"	"Hati selalu ramah
Banyak sahabat datang menyapa"	"Saat bermain, hati selalu
Bahagia dan gembira bersama"	"Jika hati selalu ramah
Sahabat datang, persahabatan tumbuh subur"	"Burung merpati terbang berpasangan,
Senyummu ramah mendamaikan jiwa."	"Tersenyum ramah di awal
Bersahabat kau akan langgeng"	"Hendak teman dekat datang selalu
Dengan ramah dan senyum sapa"
53	1337	Pantun persahabatan	"Bunga kenanga disemat dara
Harumnya lembut dibawa angin
Jika hati penuh setia
Persahabatan kekal terjalin"	"Bunga kenanga disemat dara
Harumnya lembut dibawa angin"	"Jika hati penuh setia
Persahabatan kekal terjalin"	"Bunga melati harum ceria
Angin sepoi bertiup perlahan"	"Pagi ceria embun di rawa
Pucuk kelapa melambai anggun"	"Burung camar terbang ceria,
Menjahit baju di rumah Malin."	"Indah mendung di atas fajar
Ranting patah kayu beringin"	"Kicau burung merdu suara
Udara pagi terasa dingin"	"Berjalan-jalan ke tanah mulia
Benang emas halus dijalin"	"Hati penuh setia
Persahabatan kekal terjalin"	"Setiap langkah jalan penuh
Kasih sayang tanpa berbelit"	"Jika hati penuh kesetiaan
Persahabatan kekal, ikatan abadi"	"Bunga melati di taman suci,
Setiap janji dalam hati bersemi."	"Hendaknya hati kau pelihara
Kesetiaanmu akan terkenang"	"Kesetiaan di dalam hati nian
Membangun persahabatan abadi"
54	6148	Pantun persahabatan	"Sirih kuning dalam tempayan
Air jernih penuh isinya
Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya"	"Sirih kuning dalam tempayan
Air jernih penuh isinya"	"Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya"	"Jika berlayar mencari teman
Air mengalir ke muara jua"	"Anak nelayan mencari teman
Bunga kenanga harum baunya"	"Pohon rindang di tengah taman,
Indah mekar indah warnanya."	"Menanam padi di tengah laman
Membawa cangkul ke dalam desa"	"Pergi ke hutan mencari rotan
Singgah di pondok minum teh dan bicara"	"Bunga kenanga tumbuh di halaman
Burung bernyanyi di atas dahannya"	"Hidup mahu berteman
Ikhlaskan hati dalam segalanya"	"Sejak kecil di bumi biru
Hidup dengan ikhlaslah menyayangi"	"Jika hidup mahu berteman
Ikhlas hati, kasih sayang bersemi"	"Air sungai yang jernih mengalir,
Keikhlasan membawa persahabatan abadi."	"Jika berteman ingin tahan
Kekuatan hati yang kau ikhlas"	"Hidup ini tidak sendiri nian
Bagi diri sendiri dan sesama"
55	2138	Pantun persahabatan	"Embun pagi jatuh setitis
Menyapa bunga di tepi jalan
Tutur santun wajah yang manis
Menenangkan hati mengikat kawan"	"Embun pagi jatuh setitis
Menyapa bunga di tepi jalan"	"Tutur santun wajah yang manis
Menenangkan hati mengikat kawan"	"Mentari pagi memancar manis
Burung berkicau mencari kawan"	"Gadis manis memetik asam
Burung tekukur mencari pakan"	"Hujan turun gerimis-gerimis,
Terbang tinggi burung di awan."	"Anak nelayan membawa betik
Singgah ke pekan membeli awan"	"Pergi ke pasar beli lembaran tipis
Singgah dahulu di tepi jalan"	"Di kebun bunga berdiri seorang gadis
Burung camar terbang ke awan"	"Tutur santun wajah yang manis
Menenangkan hati mengikat kawan"	"Teman tersayang yang manis
Terus menghibur dan melayani"	"Tutur santun, wajah yang manis
Menenangkan hati, mengikat persahabatan"	"Bunga sakura mekar di musim semi,
Kata-kata lembut mempererat persaudaraan."	"Tuturmu yang halus dan anggun
Rasa damai pun akan kau raih"	"Budi bahasa yang lembut ria
Membuat hati senantiasa rukun"
56	6440	Pantun bakti keluarga	"Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa
Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa"	"Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa"	"Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa"	"Burung merpati terbang tinggi
Singgah sebentar di rumah bapa"	"Burung pipit terbang tinggi
Pohon kelapa tumbuh merata"	"Indah mekar bunga melati,
Memetik kelapa di pohon kelapa."	"Harum baunya si bunga jati
Mekar setangkai di balik kelapa"	"Pergi ke pasar membeli nasi
Singgah sejenak menjumpai nenda"	"Pergi berlayar mencari sakti
Ke ladang pagi memetik kelapa"	"Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa"	"Menyayangi Bapak dan Ibu
Kita akan mendapatkan hidup bahagia"	"Hidup di dunia, berbuat bakti
Kepada ibu dan bapa, kasih tak terhingga"	"Bunga lili tumbuh dengan doa,
Bakti kepada orang tua tiada terbalasnya."	"Hidup di dunia jangan sia-sia
Lakukanlah pekerjaan dengan baik"	"Berbakti pada orang tua
Membawa kebahagiaan dunia"
57	6154	Pantun bakti keluarga	"Sirih sekapur di dalam dulang
Pinang belah disusun rata
Jika ingin hidup gemilang
Jangan lupa restu orang tua"	"Sirih sekapur di dalam dulang
Pinang belah disusun rata"	"Jika ingin hidup gemilang
Jangan lupa restu orang tua"	"Jika mendaki bukit gemilang
Petik kenanga di taman tua"	"Mentari datang sinarnya terang
Padi menguning di ladang tua
"	"Terbang tinggi si burung elang,
Singgah sebentar di pulau Jawa."	"Terbang sepasang burung elang
Minggir sebentar di atas jua"	"Burung merpati terbang melayang
Singgah dahulu minum di kedai lama"	"Bulan purnama bersinar cemerlang
Pohon beringin sudah lama tua"	"Jika ingin hidup gemilang
Jangan lupa restu orang tua"	"Membela Negara yang tercinta
Hidup di dunia ini jangan sia-siakan"	"Untuk hidup gemilang
Jangan lupa, restu orang tua"	"ahan anggur merambat di kebun,
Restu ibu bapa membawa berkat."	"Untuk kesuksesan jauhkan fitnah
Hormat dan cinta orang tua kau jaga"	"Ibu bapak yang memberi nian
Restu mereka akan kita jaga"
58	4968	Pantun bakti keluarga	"pergi ke kebun memetik tomat
bunga wangi namanya melati
kepada ayah mesti hormat
kepada ibu harus berbakti"	"pergi ke kebun memetik tomat
bunga wangi namanya melati"	"kepada ayah mesti hormat
kepada ibu harus berbakti"	"Kepada adat mesti hormat
Kepada guru tekun berbakti"	"Ke pasar lama membeli tomat
Petik melati di pagi hari"	"Buah asam rasanya nikmat,
Menanam bunga rumpun melati."	"Ke pasar membeli buah hemat
Singgah di pekan membeli ikti"	"Pergi berlayar naik kapal cepat
Singgah sebentar mencari padi
"	"Di kebun petani menanam tomat
Silat kuno penuh sakti"	"Kepada ayah mesti hormat
Kepada ibu harus berbakti"	"Bakti kepada orang tua
Jika ingin kehidupan berkah"	"Hormat kepada ayah, berbakti kepada ibu
Jasa mereka, besar tiada tara"	"Gajah di hutan menghormati pimpinan,
Hormat kepada orang tua ciptakan kemuliaan."	"Ayahmu sejak lahir membimbing
Ibu pun patuhilah sepenuh jiwa"	"Hormat pada ayah dan bapa
Adalah kewajiban setiap anak"
59	5859	Pantun bakti keluarga	"sampan kecil kita berlabuh
memuat kelapa bawa ke pasar
sejak kecil kita diasuh
jasa ibu bapak sangatlah besar"	"sampan kecil kita berlabuh
memuat kelapa bawa ke pasar"	"sejak kecil kita diasuh
jasa ibu bapak sangatlah besar"	"Sejak pagi memetik sirih
Buah delima besar tersandar"	"Tumbuh rebuh di tepi dusun
Buah delima ranum segar"	"Mandi di sungai airnya keruh,
Berlayar jauh ke laut besar."	"Menjala ikan di teluk pesut
Layar terkembang ombaknya besar"	"Pohon rendang tempat berteduh
Angin bertiup dari seberang pasar"	"Mencuci baju lalu dibasuh
Ramai orang berjualan di pasar"	"Sejak kecil kita diasuh
Jasa ibu bapak sangatlah besar"	"Melakukan budi sejati
Kita akan mendapatkan hidup bahagia"	"Sejak kecil diasuh, jasa besar
Ibu bapa, jasa mereka abadi"	"Rumput hijau tumbuh di ladang luas,
Jasa mereka tiada batas dan terdalam."	"Dari kecil hingga dewasa
Kasih sayang mereka tak terhenti"	"Dari kecil mereka mendidik nian
Budi bakti mereka terasa"
60	1710	Pantun bakti keluarga	"Burung pipit terbang rendah
Hinggap manis di atas batu
Jika ingin hidup berkah
Hormati ayah dan ibu"	"Burung pipit terbang rendah
Hinggap manis di atas batu"	"Jika ingin hidup berkah
Hormati ayah dan ibu"	"Jika mendaki tanah berkah
Singgah sebentar bertemu ibu"	"Jika mendaki janganlah lelah
Bunga melati harum semeru"	"Hendak pergi membeli nangkah,
Mengayuh sampan ke kota Jambu."	"Terbang rendah si burung camar
Tumbuh melati di tepi tebu"	"Pergi ke kebun memetik buah
Singgah sebentar minum air susu"	"Padi menguning di tengah sawah
Perahu kecil terbuat dari kayu"	"Jika ingin hidup berkah
Hormati ayah dan ibu"	"Menghormati ayah dan ibu
Jika ingin kehidupan selamat"	"Hidup berkah, hormati ayah dan ibu
Kasih mereka, panduan hidup"	"Matahari pagi menyinari bumi,
Hormat kepada orang tua memperkaya hati."	"Untuk kebahagiaan hidupmu
Hormatilah orang tua dengan sepenuh hati"	"Hidup dengan budi dan amal
Membawa kebahagiaan dunia"
61	2906	Pantun bakti keluarga	"kalau angin bertiup di darat
ambillah jala turunkan sampan
kalau hidup hendak selamat
ayah dan bunda kita muliakan"	"kalau angin bertiup di darat
ambillah jala turunkan sampan"	"kalau hidup hendak selamat
ayah dan bunda kita muliakan"	"Kalau berlayar hendak selamat
Sopan bicara kepada satria"	"Kalau berlayar bawalah pelamat
Bunga kenanga harum semalaman"	"Buah mangga rasanya nikmat,
Menanam bunga di pinggir jalan."	"Pergi berlayar mencari alamat
Sambil membawa kain tenunan"	"Pergi berlayar menuju ke barat
Singgah sebentar mencari ikan"	"Buah rambutan rasanya nikmat
Kue lapis sudah disediakan"	"Kalau hidup hendak selamat
Ayah dan bunda kita muliakan"	"Mengikuti jalan yang benar
Bakti kepada orang tua"	"Hidup selamat, muliakan ayah dan bunda
Kasih mereka, tiang kehidupan"	"Bunga teratai indah di kolam,
Muliakan ibu bapa jalan kebahagiaan."	"Hidup ini akan panjang
Mulialah budi dan cintamu"	"Ayah bunda yang selalu sayang
Kita hormati dengan sepenuh jiwa"
62	2305	Pantun bakti keluarga	"Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang
Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang"	"Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang"	"Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang"	"Kasih kenanga tersemat di jiwa
Harum melati di laman gemilang"	"Mentari senja menyinari desa
Burung terbang pulang gemilang"	"Berlayar jauh ke pulau Jawa,
Burung elang terbang melayang."	"Terbang melayang si burung jawa
Hinggap di ranting pohon mualang"	"Burung camar terbang di angkasa
Singgah sejenak di kampung seberang"	"Di candi tua bersemayam dewa
Bintang bertabur sinar cemerlang"	"Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang"	"Menyayangi dengan tulus
Hidup di dunia ini mulus"	"Kasih dan cinta, jiwa terikat
Ukhuwah keluarga, gemilang berseri"	"Bintang-bintang bersinar di langit malam,
Ikatan kasih keluarga penuh kecemerlangan."	"Semangat dan jiwa yang tinggi
Kekeluargaan akan kau raih"	"Cinta dan kasih yang tulus nian
Menjalin ukhuwah dalam keluarga"
63	1505	Pantun kehidupan dan renungan	"Burung camar terbang rendah
Menyambar ikan di laut biru
Harta dunia jangan bermegah
Budi dan amal penentu mutu"	"Burung camar terbang rendah
Menyambar ikan di laut biru"	"Harta dunia jangan bermegah
Budi dan amal penentu mutu"	"Harta pusaka jangan bermegah
Bunga cempaka penawar mutu"	"Bunga indah jangan bermegah
Rotan dianyam bermutu halus"	"Pohon rimbun di tepi sanggah,
Mengasah pisau di atas batu."	"Tinggi menjulang pohongahah
Ranting patah menjadi satu"	"Pergi ke pasar membeli buah
Singgah sebentar minum jamu
"	"Rumah gadang berdiri gagah
Di tepi sungai banyak batu"	"Harta dunia jangan bermegah
Budi dan amal penentu mutu"	"Mengenal hak dan kewajiban
Jika ingin hidup bahagia"	"Harta dunia, jangan bermegah
Budi dan amal, penentu mutu"	"Air terjun jernih di lereng gunung,
Amalan baik mengejar harta sejati."	"Janganlah sombong dunia ini
Amal budi yang baik akan menentukan"	"Harta dunia bukanlah kebahagiaan
Budi dan amal itulah kebahagiaan"
64	1377	Pantun kehidupan dan renungan	"Bunga mawar merah berduri
Cantik mekar di taman desa
Jika hati bersih nurani
Hidup indah penuh rasa"	"Bunga mawar merah berduri
Cantik mekar di taman desa"	"Jika hati bersih nurani
Hidup indah penuh rasa"	"Jika embun bening nurani
Bunga kenanga semerbak rasa"	"Jika pagi embun berseri
Harum melati penuh rasa"	"Memetik bunga di pagi hari,
Singgah sebentar di pondok desa."	"Manis rasanya buah kueni
Jatuh sebutir di atas rupa"	"Berjalan santai di tepi kali
Singgah sejenak melepas dahaga"	"Sawah ladang milik petani
Jalan setapak menuju desa"	"Jika hati bersih nurani
Hidup indah penuh rasa"	"Melakukan kebaikan sebenarnya
Jangan mengingkari budi baiknya"	"Hati bersih, nurani terang
Hidup indah, penuh rasa"	"Angin berdesir melalui dedaunan,
Nurani yang murni hidup bahagia."	"Jika nurani ini kau jaga
Hidup akan indah dan sejahtera"	"Hati yang suci dan bersih nian
Mencerminkan kebijaksanaan tinggi"
65	1473	Pantun kehidupan dan renungan	"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki"	"Burung bangau di tepi rawa
Mencari ikan sejak pagi"	"Kalau ingin hidup bahagia
Jaga hati dari dengki"	"Kalau hendak hidup bahagia
Jangan bermain hati yang dengki"	"Kalau ke taman memetik melati
Air mengalir di tepi jerami"	"Bunga mekar indah ceria,
Menapak langkah di jalan mendaki."	"Pergi ke bukit membeli rusia
Membawa bakul berisi tangki"	"Bunga mawar mekar di taman kota
Kupu-kupu terbang menari-nari"	"Berlayar jauh ke tanah mulia
Pohon kelapa tumbuh tinggi"	"Kalau ingin hidup bahagia
Jaga hati dari dengki"	"Menjaga hati dari dengki
Hidup bahagia tanpa bermegah"	"Bahagia hidup, jaga hati dari dengki
Damai jiwa, jauh dari iri"	"Bulan purnama di malam tenang,
Hati bersih membawa kebahagiaan."	"Untuk kebahagiaan sejati
Jauhkanlah dengki dari hatimu"	"Hendak hidup bahagia dan damai
Jauhkanlah dengki dan permusuhan"
66	1275	Pantun kehidupan dan renungan	"bulan berkedip bintang datang
beli sarung di pasar pagi
begini nasib jadi pedagang
kadang untung kadang rugi"	"bulan berkedip bintang datang
beli sarung di pasar pagi"	"begini nasib jadi pedagang
kadang untung kadang rugi"	"Begini dagang membawa barang
Kadang singgah kadang pergi"	"Burung layang melintas padang
Ikan sepat berenang di tepi"	"Tali timba ditarik tegang,
Mendaki gunung amatlah tinggi."	"Perahu laju membawa barang
Singgah di jeti membeli pagi"	"Pergi ke pasar menjual pisang
Berjalan kaki menempuh sepi"	"Anak-anak bermain layang-layang
Ke pasar pagi ayah pun pergi"	"Begini nasib jadi pedagang
Kadang untung kadang rugi"	"Kadang-kadang berhasil, kadang-kadang gagal
Banyak cara untuk mendapatkan keberhasilan"	"Nasib pedagang, kadang untung rugi
Bijak mengatur, rezeki berlimpah"	"Daun kering berjatuhan di musim gugur,
Perjalanan hidup punya pasang surut."	"Beginilah nasib seorang pedagang
Tidak selamanya peruntungan membudikannya"	"Pedagang yang sabar dan tekun
Hidup sejahtera meski rugi"
67	3196	Pantun kehidupan dan renungan	"Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga
Jika hidup terasa panjang
Gunakan waktu untuk berkarya"	"Ke kebun pagi membawa keranjang
Keranjang rotan diisi mangga"	"Jika hidup terasa panjang
Gunakan waktu untuk berkarya"	"Jika mendaki bukit panjang
Embun pagi menyubur karya"	"
Jika petang langit terbentang
Petik kenanga untuk berkarya"	"Anak nelayan membawa keranjang,
Indah nian pemandangannya."	"Kayu cendana dipotong pajang
Dibawa pulang ke dalam daya"	"Burung layang-layang terbang melayang
Singgah sejenak mencari kata"	"Kacang panjang tumbuh di ladang
Ramai orang di hari raya"	"Jika hidup terasa panjang
Gunakan waktu untuk berkarya"	"Menggunakan waktu dengan cerdas
Jika ingin hidup panjang dan bahagia"	"Hidup panjang, berkarya setiap waktu
Waktu berharga, jangan disia"	"Burung walet rajin membuat sarang,
Manfaatkan waktu dengan bijaksana dan giat."	"Jika panjangnya hidup ini
Gunakanlah waktu untuk berprestasi"	"Waktu panjang yang terasa lama
Jadikanlah ladang budi pekerti"
68	3263	Pantun kehidupan dan renungan	"Ke pasar membeli beras
Tak lupa membeli kelapa
Hidup tenang jauh dari cemas
Jika ikhlas dalam segala upaya"	"Ke pasar membeli beras
Tak lupa membeli kelapa"	"Hidup tenang jauh dari cemas
Jika ikhlas dalam segala upaya"	"Hidup tenteram jauh dari cemas
Berserah diri dalam upaya"	"Hidup damai di alam luas
Burung berkicau dalam rimba raya"	"Cincin murni terbuat dari emas,
Indah nian pemandangannya."	"Memetik buah di pohon emas
Sambil berjalan di atas raya"	"Pergi ke ladang menanam beras
Singgah sebentar di kedai kita"	"Intan berkilau bagaikan emas
Bulan bersinar penuh cahaya"	"Hidup tenang jauh dari cemas
Jika ikhlas dalam segala upaya"	"Hidup tenang dan tidak sedih
Ikut bersyukur atas nikmatnya"	"Hidup tenang, jauh dari cemas
Ikhlas dalam upaya, damai jiwa"	"Laut yang tenang di tepi pantai,
Ikhlas dalam kerja menenangkan hati."	"Diam-diam hidup pun tenang
Upayamu jujur agar berhasil"	"Ikhlas dalam berbuat baik nian
Hidup tenang dan sejahtera"
69	3326	Pantun kehidupan dan renungan	"Ke sawah pagi membawa ani-ani
Padi menguning tampak merata
Jika ingin hidup berarti
Hidupkan empati dalam jiwa"	"Ke sawah pagi membawa ani-ani
Padi menguning tampak merata"	"Jika ingin hidup berarti
Hidupkan empati dalam jiwa"	"Jika mendaki hidup berarti
Harum melati memenuhi jiwa"	"Jika melaut mencari rezeki
Bunga melati tumbuh di halaman jiwa"	"Tumbuh indah bunga melati,
Berlayar jauh ke pulau Jawa."	"Bunga melati tumbuh di peti
Sangatlah indah dipandang jawa"	"Pergi ke pasar membeli nasi
Singgah sejenak melihat pesona"	"Hujan turun sudah pasti
Di puncak gunung bersemayam dewa"	"Jika ingin hidup berarti
Hidupkan empati dalam jiwa"	"Menjadi orang yang peduli
Jika ingin hidup berarti"	"Hidup berarti, hidupkan empati
Kasih sayang, penuh di hati"	"Bunga kembang sepatu mekar indah,
Empati memperkaya kehidupan yang mulia."	"Untuk hidup ini membanggakan
Kembangkanlah empati dalam dirimu"	"Hidup ini tidak sia-sia nian
Dengan empati dan kasih sayang"
70	1466	Pantun kehidupan dan renungan	"Burung bangau berdiri diam
Menunggu ikan di tepian
Orang sabar dalam diam
Menunggu waktu kemenangan"	"Burung bangau berdiri diam
Menunggu ikan di tepian"	"Orang sabar dalam diam
Menunggu waktu kemenangan"	"Orang berdiam di tepi kolam
Menunggu senja membawa kemenangan"	"Orang menanam pohon salam
Menunggu padi menguning kemudian"	"Bunga mawar disiram-siram,
Memetik buah di dalam ruangan."	"Layar terkembang di malam kelam
Singgah sebentar di dermaga ruangan"	"Ikan berenang di dalam kolam
Menanti masa datangnya bulan"	"Bulan bersinar di waktu malam
Anak-anak bermain di lapangan"	"Orang sabar dalam diam
Menunggu waktu kemenangan"	"Sabarlah dalam menghadapi cobaan
Tidak mudah putus asa karena kesulitan"	"Sabar dalam diam, menunggu kemenangan
Orang sabar, berkah hidupnya"	"Burung hantu di malam sunyi,
Sabar menanti saat kemenangan tiba."	"Dalam kesabarannya ia diam
Maka kesuksesan pasti akan datang"	"Orang yang sabar dalam diam
Mencapai kesuksesan di akhir zaman"
71	5770	Pantun kebangsaan	"rambut hitam anggun rupanya
sehalus bulu burung merpati
hidup mati untuk negara
ikhlas hati kalau mati"	"rambut hitam anggun rupanya
sehalus bulu burung merpati"	"hidup mati untuk negara
ikhlas hati kalau mati"	"Hidup mati untuk negara
Ikhlas bakti sepanjang hati"	"Burung nuri terbang ke negara
Harum melati sepanjang hati"	"Berlayar kapal ke muara,
Menanam bunga rumpun melati."	"Sungai mengalir menuju muara
Kain ditenun kain kualiti"	"Burung garuda terbang perkasa
Membela bangsa sepenuh hati"	"Burung terbang tinggi di udara
Bekerja keras dengan sepenuh hati"	"Hidup mati untuk negara
Ikhlas hati kalau mati"	"Hidup mati untuk tanah air
Teguhlah hati jika harus melindungi"	"Hidup mati, untuk negara tercinta
Ikhlas hati, pengorbanan mulia"	"Bunga raya merah semangat perwira,
Kesediaan berkorban demi tanah air tercinta."	"Ikhlaskan segala bentuk penderitaan
Untuk negara tanah tumpah darahmu"	"Berjuang untuk negara nian
Dengan ikhlas dan rela berkorban"
72	1095	Pantun kebangsaan	"Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa
Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa"	"Bintang timur menyinsing pagi
Menyingkap kabut di hujung desa"	"Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa"	"Jika pusaka dijunjung tinggi
Harumlah taman penuh wibawa"	"Jika mahkota berkilau tinggi
Tegak cemara penuh wibawa"	"Mendaki gunung amatlah tinggi,
Berlayar jauh ke pulau Jawa."	"Rimbun daunnya pohon mengkudu
Tumbuh rapat di dekat rawa"	"Pergi ke pasar membeli topi
Singgah sejenak di rumah tua"	"Bukit barisan menjulang tinggi
Pendekar silat dari tanah Jawa"	"Jika amanah dijunjung tinggi
Tegaklah bangsa penuh wibawa"	"Bertanggung jawab dengan baik
Jika ingin hidup bahagia dan sejahtera"	"Amanah dijunjung tinggi
Bangsa tegak, penuh wibawa"	"Pohon beringin besar dan kokoh,
Amanah yang baik meneguhkan bangsa."	"Tinggalkanlah kebajikan dengan tekun
Agar kemuliaan negeri kau junjung"	"Jujur dan amanah di atas segalanya
Bangsa kita akan kuat dan besar"
73	4132	Pantun kebangsaan	"Mentari pagi menyimbah desa
Kabut tersingkap di kaki bukit
Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit"	"Mentari pagi menyimbah desa
Kabut tersingkap di kaki bukit"	"Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit"	"Jika mentari menjadi perkasa
Burung bangkit menuju himpit "	"Jika purnama bersinar perkasa
Mentari terbit tiada terhimpit"	"Hinggap sebentar di pondok desa,
Membeli kue rasanya sedikit."	"Pohon kelapa meliuk dirasa
Buahnya jatuh di atas bukit"	"Burung rajawali terbang ke angkasa
Bintang bertabur menghias langit"	"Zaman berubah dimakan masa
Jalan setapak menuju lorong sempit"	"Jika ilmu menjadi perkasa
Bangsa bangkit tiada terhimpit"	"Menjadi orang yang terdidik
Bangsa akan maju dan berkembang"	"Ilmu menjadi perkasa
Bangsa bangkit, tiada terhimpit"	"Gelombang laut menguji kekuatan pantai,
Ilmu pengetahuan membebaskan dari keterhimpitan."	"Ilmu yang bermanfaatlah kamu kuasai
Bangsaku akan bangkit dari keterpurukan"	"Ilmu yang bermanfaat dan berguna
Membawa kemajuan bangsa kita"
74	1729	Pantun kebangsaan	"Burung serindit menyisir awan
Hinggap sebentar di dahan sena
Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda"	"Burung serindit menyisir awan
Hinggap sebentar di dahan sena"	"Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda"	"Jika pusaka dijunjung tuan
Harumlah bangsa tiada ternoda"	"
Jika berlayar bersama tuan
Pohon cendana tidak ternoda"	"Berjalan santai di tepi jalan,
Mengayuh sampan di atas samudera."	"Di tepi pantai memikat awan
Padi menguning di atas dada"	"Pergi berlayar mengangkut rotan
Singgah sejenak di rumah nenda"	"Rimba belantara lebatnya hutan
Pedati tua berjalan dengan roda"	"Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda"	"Tetap menjaga amanah
Kita akan mendapatkan kebahagiaan"	"Amanah dijunjung tuan
Bangsa teguh, tidak ternoda"	"Batu permata bersinar terang,
Amanah teguh menjaga kemurnian bangsa."	"Janganlah engkau tinggal di belakang
Bangsaku akan bangkit dengan gagah"	"Menjunjung tinggi amanah dan kejujuran
Bangsa kita akan selalu dihormati"
